HUC Name,HUC Code,Installed BMPs,Active BMPs,Installed Acres,Active Acres,Sediment Reduction (tons),Phosphorus Reduction (lbs.),Nitrogen Reduction (lbs.),Most Frequent BMP,x,y
Little Sugar Creek-Sugar Creek,051201050601,10,12,384.2,384.4,622.535458392,785.533053356,1567.93501801,Cover Crop,,
Bowen Ditch-Wabash River,051201050602,0,7,0,35.6,69.74769637,489.972668864,3846.76634965,N/a,,
Harrison Creek-Wabash River,051201050603,0,0,0,0,0,0,0,N/a,,
Cedar Lake Branch-Elder Ditch,051201060101,14,22,836.4,841.383448118,5283.14438592,6127.59878205,12204.2208612,Cover Crop,,
Ridinger Lake-Grassy Creek,051201060102,8,12,234.6,284.7,795.779104419,888.751809831,1758.44332819,"Residue and Tillage Management, No-Till",,
Smalley Lake-Tippecanoe River,051201060103,29,45,386.405785124,422.57187787,1502.41043702,1735.18257516,3469.85406795,Cover Crop,,
Big Barbee Lake-Grassy Creek,051201060104,2,6,143.6,144.002272727,215.793191212,243.588046772,489.553253098,Cover Crop,,
Tippecanoe Lake-Tippecanoe River,051201060105,16,36,547.6,561.439738292,1048.91644044,1171.03414054,2347.70196455,Cover Crop,,
McCarter Ditch-Deeds Creek,051201060201,18,30,403.9,512.976492195,1048.52649296,1119.65677305,2245.82992588,Cover Crop,,
Pike Lake-Deeds Creek,051201060202,13,17,167.289049587,228.389049587,524.044009051,581.104042827,1157.8783217,Cover Crop,,
Winola Lake-Eagle Creek,051201060203,35,41,828.42,849.22,1780.12737202,1892.78875754,3800.18362445,Cover Crop,,
Eagle Creek-Walnut Creek,051201060204,38,51,1023.60087236,1185.50087236,2148.96228184,2320.71050228,4660.42500095,Cover Crop,,
Ruple Ditch-Tippecanoe River,051201060205,2,4,48.2,96.9,143.653877134,159.868363664,320.41580926,Cover Crop,,
Adams Ditch-Trimble Creek,051201060301,23,23,1497.7,1497.7,2651.80662752,2876.06415708,5772.26878942,Cover Crop,,
Pole Run Ditch-Tippecanoe River,051201060302,4,6,91.1,116.16,176.581375872,195.562807456,391.40197769,Cover Crop,,
Palestine Lake-Trimble Creek,051201060303,26,26,1137.7,1137.7,1761.34578461,1943.15153211,3902.22700696,Cover Crop,,
Ridenour Ditch-Danner Ditch,051201060304,9,9,312.46,312.46,347.356689872,410.973385951,825.465738437,Cover Crop,,
Danner Ditch-Tippecanoe River,051201060305,6,7,143.9,145.9,233.044487885,261.288923002,523.601676026,Cover Crop,,
Shatto Ditch-Tippecanoe River,051201060401,47,51,1560.36427916,1603.56427916,2310.01166918,2614.23962425,5247.48989485,Cover Crop,,
Outlet Creek,051201060402,7,9,388.9,407.31,575.971209619,650.78228709,1307.28338244,Cover Crop,,
Rickle Ditch-Yellow Creek,051201060403,16,17,701.79,701.793213958,1222.05378975,1323.74426508,2657.03633831,Cover Crop,,
Little Yellow Creek-Yellow Creek,051201060404,4,5,262.5,271.7,446.733826887,513.34551841,1029.71524381,Cover Crop,,
Clarence Baker Ditch-Tippecanoe River,051201060405,8,20,263.36,267.66,1936.9076106,1984.99342984,3978.8502939,Cover Crop,,
Redinger Ditch-Tippecanoe River,051201060406,5,5,70.3,70.3,107.426704356,120.125080592,242.210154882,Conservation Cover,,
Lake 16-Chippewanuck Creek,051201060407,6,7,30.9549035813,30.9879614325,72.312181827,74.2334997942,147.777984997,Cover Crop,,
Byrant Leininger Ditch-Chippenwanuck Creek,051201060408,7,9,75.97,76.0941046832,232.389119221,223.352269305,447.603147583,Cover Crop,,
Reister Creek-Tippecanoe River,051201060409,3,3,55,55,76.6297477837,84.0758225935,168.811949277,Cover Crop,,
Robbin Taylor Ditch,051201060501,9,15,194.216069789,196.816069789,747.880886291,836.70771552,1673.0481487,Cover Crop,,
Lake Manitou- Mill Creek,051201060502,16,17,260.4,260.9,396.616752537,431.957209564,867.038855456,Cover Crop,,
Smith Ditch-Mud Creek,051201060503,10,10,231.7,231.7,436.651680811,522.361518595,1043.99681646,Cover Crop,,
Neff Ditch-Mud Creek,051201060504,2,2,42.77,42.77,65.6588012201,90.3932096161,181.027102487,CREP CP 21 Filter Strips,,
Grube Ditch-Mud Creek,051201060505,1,1,25,25,33.6224699799,37.1495176211,74.6019607073,Cover Crop,,
Collins Ditch,051201060506,7,9,192.02,194.22,253.509155156,287.222869184,576.702989243,Cover Crop,,
Tilden Ditch-Mud Creek,051201060507,4,4,102,102,133.555053083,148.273836196,297.787987306,Cover Crop,,
Cowan Ditch-Eddy Creek,051201060508,2,4,47.7,50.43,63.7327294965,75.06104116,148.817322413,Cover Crop,,
Zink Lake-Tippecanoe River,051201060509,5,6,137.54,140.47,182.06763318,203.290330958,408.169982879,Cover Crop,,
Lake Maxinkuckee,051201060601,2,2,3.12295684114,3.12295684114,5,8,15,Conservation Cover,,
House Ditch,051201060602,26,34,343.54,481.57,287.855641415,523.817438121,1039.33246926,Cover Crop,,
Slonaker Ditch-Tippecanoe River,051201060603,16,31,422.27,603.17,490.672999193,627.931651882,1262.26756625,Cover Crop,,
Bartee Ditch-Tippecanoe River,051201060604,2,10,152.2,252.1,101.354030511,154.628642494,311.81434562,Cover Crop,,
Bruce Lake-Bruce Lake Outlet,051201060605,9,21,45.82,78.0243617998,346.47884166,533.065203016,1066.58931399,Conservation Cover,,
Dilts Anstis Ditch-Tippecanoe River,051201060606,4,6,7.9,15.7,7.01787316677,9.66579422003,19.5054288844,Tree/Shrub Establishment,,
Quigley Marsh Ditch,051201060607,0,3,0,5.9,3.80869484672,5.39531022138,10.8945436856,N/a,,
Tyler Weisjahn Ditch-Tippecane Ditch,051201060608,0,0,0,0,0,0,0,N/a,,
Headwaters Mill Creek,051201060701,1,1,93.2,93.2,106.333725541,121.347678289,243.853256292,Cover Crop,,
Reed Olmstead Ditch-Mill Creek,051201060702,1,3,10,10.233379247,24.5638488733,23.3031949613,46.6855349754,Cover Crop,,
Little Mill Creek,051201060703,8,8,488,488,566.007745935,643.32762103,1292.68806917,Cover Crop,,
Wilson Ditch-Mill Creek,051201060704,2,2,45,45,61.2812712,67.5427272372,135.629063194,Cover Crop,,
Prather Ditch-Mill Creek,051201060705,10,14,212.2,227.5,90.2341203898,127.823786247,258.062933258,Cover Crop,,
Walsh Ditch-Grassy Creek,051201060801,4,4,215.55,215.55,230.319385916,304.14996332,608.29940201,Cover Crop,,
Headwaters Indian Creek,051201060802,4,4,123.2,123.2,211.835737523,300.430400411,599.523865082,Early Successional Habitat Development/Management,,
Fredericks Ditch-Little Indian Creek,051201060803,2,2,78.2,78.2,92.9289864143,124.278277328,248.335709276,Cover Crop,,
Little Indian Creek,051201060804,10,13,425.2,474.2,484.710235739,609.807106943,1224.91477729,Cover Crop,,
Town of Thornhope-Indian Creek,051201060805,13,14,299.709182736,301.009182736,111.788186398,158.603835175,320.217580931,Cover Crop,,
Agnew Ditch,051201060901,16,19,446.5,454.9,156.78982335,226.696873607,457.873281824,Early Successional Habitat Development/Management,,
Mud Creek,051201060902,8,16,215.309182736,237.609182736,101.046976452,142.947214434,289.287967108,Cover Crop,,
Budd Fisher Ditch-Tippecanoe River,051201060903,8,10,158.9,163.1,63.4049620124,90.2226824223,182.16817004,Cover Crop,,
Stout Ditch-Tippecanoe River,051201060904,6,10,289,295.3,106.077071194,152.317257982,307.597432618,Cover Crop,,
Scholtz Ditch,051201061001,23,40,548.08,580.58,221.760440163,320.454365488,649.865304927,Cover Crop,,
Headwaters Big Monon Ditch,051201061002,0,9,0,24.6,24.5116112767,36.7371343506,73.6852469505,N/a,,
Thompson Ditch-Big Monon Ditch,051201061003,4,8,194.6,210.5,78.6238356736,116.244921484,233.451000417,Cover Crop,,
Lincoln Ditch-Big Monon Ditch,051201061004,0,8,0,13.1,8.65674481845,12.2068086221,24.6463236487,N/a,,
Antrim Ditch,051201061005,3,4,53.1,56,22.4239496436,31.6319168074,63.855553783,Cover Crop,,
Mosley Ditch,051201061006,1,1,46.6,46.6,16.7467639774,23.9815573423,48.4263406571,Cover Crop,,
Stein Ditch-Big Monon Ditch,051201061007,2,3,162.9,165.2,53.9419209597,78.8582305119,159.310952096,Cover Crop,,
Big Monon Creek-Big Monon Ditch,051201061008,9,12,447,451.7,155.128461516,225.334311424,454.035972337,Cover Crop,,
Kesler Ditch-McKillip Ditch,051201061101,5,12,479.2,497,279.275453463,369.287699943,744.508620957,Cover Crop,,
Hill Ditch,051201061102,1,1,1.3,1.3,0.886085037358,1.24194083481,2.5072334013,Field Border,,
McKillip Ditch,051201061103,0,0,0,0,0,0,0,N/a,,
Brown Ditch-Big Monon Creek,051201061104,5,5,52.8,52.8,30.7965820755,41.0801287168,82.8318878883,Field Border,,
Weltzin Ditch-Tippecanoe River,051201061201,0,1,0,14,12,19,38,N/a,,
Harp Ditch-Tippecanoe River,051201061202,0,0,0,0,0,0,0,N/a,,
Hollingsworth Ditch-Hoagland Ditcj,051201061203,30,31,1735.4,1752.5,1844.43811649,2478.05955175,4958.0080349,Cover Crop,,
Winters Ditch-Hoagland Ditch,051201061204,10,10,766,766,384.893547971,520.916738179,1050.6442685,Cover Crop,,
Hoagland Bay-Hoagland Ditch,051201061205,3,3,195.5,195.5,107.556677909,143.314396248,288.955116374,Cover Crop,,
Keans Creek,051201061206,4,4,121,121,73.3317266818,95.8721292676,193.221985621,Cover Crop,,
Headwaters Honey Creek,051201061207,0,0,0,0,0,0,0,N/a,,
Lake Shafer-Tippecanoe River,051201061208,1,2,6,18,11.6999084503,17.1870379419,34.6050076811,CREP CP 23A Wetland Restoration - Non-floodplain,,
Pike Creek-Tippecanoe River,051201061301,0,0,0,0,0,0,0,N/a,,
Bell Ditch-Big Creek,051201061302,0,1,0,1.5,15.1,15.1,30.2,N/a,,
Deiter Ditch-Big Creek,051201061303,0,0,0,0,0,0,0,N/a,,
Lake Freeman-Tippecanoe River,051201061304,0,0,0,0,0,0,0,N/a,,
Big Creek,051201061305,0,0,0,0,0,0,0,N/a,,
Spring Creek,051201061306,1,4,0.4,12.9,56.3108725458,59.7806348817,120.79247612,Grassed Waterway,,
Myers Ditch-Moot Creek,051201061307,2,2,321.8,321.8,377.465871405,513.608856535,1026.23827055,Cover Crop,,
Moots Creek,051201061308,0,8,0,15.3,223.570425662,225.552185213,451.39211347,N/a,,
Benham Cemetary-Tippecanoe River,051201061309,6,7,150.2,152.6,240.527145106,307.234784283,614.020515552,Cover Crop,,
Headwaters Turkey Creek,051201070101,6,6,411,411,510.214699731,698.146915257,1394.9313319,Cover Crop,,
North Creek-Mud Creek,051201070102,1,5,38.1,50.6,86.4762965671,112.407304334,224.633854509,Cover Crop,,
Round Prairie Ditch-Turkey Creek,051201070103,0,1,0,1.5,2.95949026978,3.44498615438,6.88722090246,N/a,,
Middle Fork Ditch,051201070104,0,0,0,0,0,0,0,N/a,,
Grassy Fork,051201070105,0,0,0,0,0,0,0,N/a,,
Mud Creek,051201070106,0,0,0,0,0,0,0,N/a,,
Kokomo Waterworks Reservoir No. 2-Wildcat Creek,051201070107,0,3,0,1.4,10.7454491287,11.6977069937,23.3885875805,N/a,,
Taylor Run-Kokomo Creek,051201070108,2,4,41.1,46.7,77.4080200411,101.979388261,203.785466766,Cover Crop,,
Cannon-Goyer Ditch-Wildcat Creek,051201070109,0,0,0,0,0,0,0,N/a,,
Harness Ditch-Middle Fork Wildcat Creek,051201070201,8,10,147.9,151.4,283.605208639,353.840852653,707.220197197,Cover Crop,,
Robertson Branch-Middle Fork Wildcat Creek,051201070202,1,3,1.5,2,184.430418705,182.649456954,365.312862371,Grassed Waterway,,
Campbells Run,051201070203,3,23,116,143.9,1704.95226947,1764.808404,3528.83150592,Cover Crop,,
Town of Rossville-Middle Fork Wildcat Creek,051201070204,11,17,3.1,9.40789715335,480.747588501,583.7348727,1159.48724124,Conservation Cover,,
Hog Run-Middle Fork Wildcat Creek,051201070205,3,6,65.4,68.4,182.092502556,210.671087993,421.17886077,"Residue and Tillage Management, No-Till",,
Swamp Creek,051201070301,5,12,81.2,96.9,320.076861322,366.831013719,733.551920251,Conservation Cover,,
Shanty Creek-Kilmore Creek,051201070302,0,0,0,0,0,0,0,N/a,,
Stump Ditch-Kilmore Creek,051201070303,4,7,42.4,89.8776859504,342.108667359,388.355096315,776.587700374,Conservation Cover,,
Talbert Ditch-South Fork Wildcat Creek,051201070304,1,5,67.3,74.8843663912,255.921453035,318.796454944,677.247560267,Conservation Cover,,
Prairie Creek,051201070305,0,12,0,25.2532598714,369.939685738,421.222340764,953.61823079,N/a,,
Kilmore Creek,051201070306,10,26,578.423140496,596.598209366,1361.74709653,1635.65731147,3266.4693467,Cover Crop,,
Spring Creek,051201070307,4,6,0.5,0.606887052342,15.7219206531,13.2602188482,26.5492984201,Cover Crop,,
Jenkins Ditch-South Fork Wildcat Creek,051201070308,8,21,153.2,166.9,696.242757532,789.512643227,1578.77568832,Cover Crop,,
Lauramie Creek,051201070309,2,2,95.5,95.5,111.03870412,152.330435303,304.361958051,Cover Crop,,
Town of MUlberry-South Fork Wildcat Creek,051201070310,1,4,40,46.2537190083,89.399302938,114.682702314,257.117223039,Cover Crop,,
Town of Dayton-South Fork Wildcat Creek,051201070311,4,10,71.5,75.9807162534,135.865755378,169.654551333,338.083904175,Cover Crop,,
West Fork-Little Wildcat Creek,051201070401,0,0,0,0,0,0,0,N/a,,
Little Wildcat Creek,051201070402,5,7,177.5,239.9,356.094349935,482.433910489,963.94643232,"Residue and Tillage Management, No-Till",,
Kitty Run-Wildcat Creek,051201070403,3,6,178,186.7,910.747138936,995.606701528,1991.60145341,Cover Crop,,
Honey Creek,051201070404,20,33,554.3,630.132139578,1741.542176,2051.8359468,4100.56388804,Cover Crop,,
Dearinger Ditch-Wildcat Creek,051201070405,5,10,48.1,51.3,518.688440955,639.778102463,1278.52003577,Conservation Cover,,
Petes Run-Wildcat Creek,051201070406,7,13,309.5,311.957116621,468.35615448,603.557516811,1205.16155002,Cover Crop,,
Hurricane Creek-Hurricane Creek,051201070407,12,39,201.8,340.974471993,838.516172184,1102.83260846,2360.44644098,Cover Crop,,
Town of Owasco-Wildcat Creek,051201070408,19,33,151.611202938,288.340633609,569.327783165,717.842950996,1433.61150256,Cover Crop,,
Dry Run-Wildcat Creek,051201070409,0,0,0,0,0,0,0,N/a,,
Romney Fraley Ditch,051201080101,10,22,423.223507805,458.023507805,1080.69535456,1275.58818464,2548.6903848,Cover Crop,,
East Branch Wea Creek,051201080102,7,16,116.6,151.8,534.165054348,703.579142156,1406.72132979,Conservation Cover,,
Haywood Ditch-Wea Creek,051201080103,8,10,300.8,305.3,665.158494786,815.797706082,1632.77611606,Cover Crop,,
Elliot Ditch,051201080104,0,11,0,75.1821854913,348.466427006,232.622371975,1310.84625068,N/a,,
Little Wea Creek,051201080105,83,89,2898.20096419,2905.91767677,4224.60471827,5444.09422386,11151.3540222,Cover Crop,,
Kenny Ditch-Wea Creek,051201080106,2,10,219.5,230.009182736,403.24365435,498.756360894,996.826247777,Cover Crop,,
North Fork Burnett Creek,051201080201,0,6,0,7.5,564.7,564.7,1129.3,N/a,,
Headwaters Burnett Creek,051201080202,8,13,400.1,409.2,1013.01674229,1222.34880134,2446.4642033,Cover Crop,,
Cedar Hollow-Wabash River,051201080203,0,24,0,30.1210284665,28.170866486,257.661681567,278.577417342,N/a,,
Headwaters Mud Pine Creek,051201080301,8,8,655.3,655.3,684.117341223,958.220481603,1914.42092828,Cover Crop,,
Seamons Ditch-Mud Pine Creek,051201080302,17,17,381.8,381.8,454.532290806,621.793232112,1242.37571281,Cover Crop,,
Goose Creek-Mud Pine Creek,051201080303,38,40,1220.13213958,1224.33213958,1739.66866623,2273.50690738,4543.18457096,Cover Crop,,
Spring Branch-Mud Pine Creek,051201080304,18,24,364.5,368.761294766,1433.02461566,1925.67166763,3780.55157678,Conservation Cover,,
Roudebush Ditch-Big Pine Creek,051201080401,2,2,79.1,79.1,70.1802297583,85.1804304942,171.401361726,"Residue and Tillage Management, No-Till",,
Big Pine Creek Ditch-Big Pine Creek,051201080402,33,33,1953.86267218,1953.86267218,2755.93982652,3579.92363767,7153.87535725,Cover Crop,,
Little Pine Creek,051201080403,16,16,448.177134986,448.177134986,624.413070387,796.028309495,1587.67129259,Fence,,
Owens Ditch-Big Pine Creek,051201080404,37,42,2656.7,2659.78838384,3182.51415113,4326.32948614,8644.54637219,Cover Crop,,
Brumm Ditch-Big Pine Creek,051201080405,14,30,352.5,390.620982553,881.980640863,1125.1292861,2191.14149362,Cover Crop,,
Darby Ditch-Big Pine Creek,051201080406,10,10,279.5,279.5,349.346530788,469.72238773,937.573254571,Cover Crop,,
Brown Ditch,051201080407,13,15,394.640174472,396.480348944,650.948177406,845.286229732,1689.38211395,Cover Crop,,
Harrington Creek-Big Pine Creek,051201080408,4,4,196.6,196.6,221.745349723,306.376684112,612.136096518,Cover Crop,,
Pine Village-Big Pine Creek,051201080409,9,17,334.8,339.624104683,613.131391281,754.116502924,1507.9520988,Cover Crop,,
Hog Back Hill-Big Pine Creek,051201080410,8,10,226.6,229.4,701.737389299,786.310610011,1571.18791357,"Residue and Tillage Management, No-Till",,
Indian Creek,051201080501,0,10,0,24.6,222.225737217,311.317153436,616.604083011,N/a,,
Jordan Creek-Wabash River,051201080502,10,16,102.46,459.96,837.19102921,1368.05707007,2720.49065234,CREP CP 23 Wetland Restoration within the 100-year floodplain,,
Lost Creek-Wabash River,051201080503,3,14,1.2080348944,101.108034894,510.622188168,704.07542388,1393.04401612,Grade Stabilization Structure,,
Flint Run-Flint Creek,051201080504,2,7,122.1,131.2,624.510207463,677.138626075,1353.98915662,Cover Crop,,
Otterbein Ditch-Little Pine Creek,051201080505,5,13,174.1,205.7,637.794687402,755.566928111,1506.72246308,Cover Crop,,
Armstrong Creek-Little Pine Creek,051201080506,29,35,1593.41,1609.0274472,2711.31328306,3396.14897014,6783.69723871,Cover Crop,,
Flint Creek-Wabash River,051201080507,5,9,178.1,254.55,464.581300162,598.266813171,1195.60111468,Cover Crop,,
Headwaters Kickapoo Creek,051201080508,3,9,163.5,179.2,421.294341914,499.281751578,998.08906558,Cover Crop,,
West Fork Kickapoo Creek,051201080509,0,4,0,42.6,108.851252571,139.472974847,277.737320099,N/a,,
Turkey Run-Wabash River,051201080510,6,13,146.3,189.8,575.075456447,676.75591478,1352.02432598,Cover Crop,,
Headwaters Big Shawnee Creek,051201080601,27,70,980.455693297,1068.69802571,4779.83045772,5273.22702779,10534.928231,Cover Crop,,
Little Shawnee Creek-Big Shawnee Creek,051201080602,4,14,6.6,15.1,511.909636926,516.52792876,1031.92755233,Grassed Waterway,,
Fall Branch-Wabash River,051201080603,0,6,0,26.1584940312,151.216886604,167.787990679,334.460856701,N/a,,
Rock Creek-Wabash River,051201080604,7,7,486.9,486.9,1363.76464631,1555.86193431,3110.67851531,"Residue and Tillage Management, No-Till",,
Redwood Creek,051201080605,6,19,209.6,225.265128558,1179.44891455,1266.4714199,2526.5116598,"Residue and Tillage Management, No-Till",,
Opossum Run,051201080606,4,10,122.2,128,466.160199289,508.316018838,1014.41902142,"Residue and Tillage Management, No-Till",,
Racoon Creek-Wabash River,051201080607,4,11,22.6,160.6,772.566212848,809.95254752,1614.8213613,Grassed Waterway,,
Mallory Branch-Wabash River,051201080608,5,33,3.4,12.3160697888,972.7,972.7,1942.1,Grassed Waterway,,
Joseph Ludlow Ditch-Joseph Ludlow Ditch,051201080701,1,8,0.9,10.9,688.183678569,688.82051924,1375.2367159,Field Border,,
Turkey Run,051201080702,1,15,146,156.7,885.951899524,960.638207724,1917.90155104,Cover Crop,,
Charles Ludloe Ditch-North Fork Coal Creek,051201080703,1,21,2.7,69.7313360882,786.591109556,824.574907243,1643.87249348,Grassed Waterway,,
Harrison Lake-Coal Creek,051201080704,10,48,111.5,146.425711662,4301.78343197,4356.22167818,8762.24380168,Cover Crop,,
Headwaters East Fork Coal Creek,051201080705,2,21,3.8,17.8080348944,492.01910108,494.709302059,985.59996639,Field Border,,
Town of Hillsboro-East Fork Coal Creek,051201080706,0,16,0,11.4222681359,286.774559277,286.843578695,569.69214055,N/a,,
Rose Cemetary-East Fork Coal Creek,051201080707,4,46,4.30160697888,32.6377640037,1742.49184544,1734.36351865,3458.11767265,Grassed Waterway,,
Dry Run-Coal Creek,051201080708,6,63,9.9,57.91,3065.88515443,3098.51083232,6194.51689743,Grassed Waterway,,
Spring Creek,051201080801,0,4,0,17.6,44.1807279765,56.5919033786,114.094768766,N/a,,
Jordan Creek,051201080802,4,6,3.4,5.1339302112,64.9,66.9,136.3,Grassed Waterway,,
Collette Pond-Wabash River,051201080803,1,13,3.9,24.2,403.072196697,615.997218091,825.91210235,Field Border,,
Graham Creek,051201080901,4,62,5.4,79.3,2468.16112992,2495.30230043,5077.76525983,Grassed Waterway,,
Prairie Creek,051201080902,9,30,10.8,49.7,1953.70662664,2016.2586996,4026.36930626,Grassed Waterway,,
Cooper Chapel-Coal Creek,051201080903,16,50,83.2,141.5,2983.01164549,2170.12685845,4355.21793301,Grassed Waterway,,
Upper Jordan Creek,051201090701,0,1,0,0.0241046831956,2.9,2.9,6,N/a,,
Little Creek,051201090702,3,3,363.2,363.2,566.567841775,720.682029367,1440.33348657,Cover Crop,,
Whipporwill Branch-Middle Branch,051201090703,6,6,317.616069789,317.616069789,852.154998741,986.26455743,1972.64450161,Cover Crop,,
Middle Jordan Creek,051201090704,0,0,0,0,0,0,0,N/a,,
Lower Jordan Creek,051201090705,0,0,0,0,0,0,0,N/a,,
Leuch Ditch,051201090801,3,5,10.3,16.265748393,30.6257677243,40.697006954,80.3413829329,Early Successional Habitat Development/Management,,
Prairie Green-North Fork Vermilion River,051201090802,0,0,0,0,0,0,0,N/a,,
Hoffman Cemetery-Stony Creek,051201090902,0,0,0,0,0,0,0,N/a,,
Lick Creek,051201090903,0,0,0,0,0,0,0,N/a,,
Coal Branch,051201090905,2,9,8.9,20.1,117.124502208,127.405698163,294.039671524,Field Border,,
Mallott Ditch-Sugar Creek,051201100101,1,9,120,132.2,227.221546628,289.431141999,578.44150905,Cover Crop,,
Scott Wincoup Ditch-Sugar Creek,051201100102,5,14,327.3,334.3,1299.66194076,1452.78574624,2904.52344722,"Residue and Tillage Management, No-Till",,
Mud Creek,051201100103,5,7,2.16393480257,7.26393480257,30.6724075522,41.8614550777,82.6918354343,Early Successional Habitat Development/Management,,
Rose Ditch-Brown Wonder Creek,051201100104,1,6,0.3,4.2,186.077260353,188.768027314,377.319747714,Early Successional Habitat Development/Management,,
Barnes Ditch-Sugar Creek,051201100105,2,3,189.5,191.7,430.69568407,514.003704782,1021.44993608,Cover Crop,,
Reagan Run,051201100106,1,8,1.1,11.6120523416,964.057287224,968.513493607,1937.09691748,Field Border,,
Spring Creek-Sugar Creek,051201100107,1,4,3.6,8.2,438.593221131,440.885843087,882.254229476,Early Successional Habitat Development/Management,,
Brush Creek-Sugar Creek,051201100108,5,8,118.7,127.2,242.181516385,298.064924132,594.838318345,Field Border,,
Headwaters Little Potatoe Creek,051201100201,1,1,0.9,0.9,105.84,105.84,211.68,Grassed Waterway,,
Bowers Creek,051201100202,1,12,120,132.216069789,549.887384388,602.105865963,1203.85257049,Cover Crop,,
Lye Creek Drain,051201100203,1,5,37.72,39.42,199.754962299,214.821529696,431.538762813,Cover Crop,,
Little Potatoe Creek-Lye Creek,051201100204,9,19,699,705.6,1101.5613868,1393.85713339,2789.7250091,Cover Crop,,
Little Creek-Little Sugar Creek,051201100301,0,2,0,3.79311294766,271.2,270.9,542.8,N/a,,
Little Sugar Creek,051201100302,7,32,282.2,299.8,1382.83005379,1491.50545563,2980.29177605,Cover Crop,,
Town of Linnsburg-Walnut Fork Sugar Creek,051201100303,15,40,464.24,508.656069789,1988.70242893,2195.44794614,4391.39269832,Cover Crop,,
Sanitary Ditch-Prairie Creek,051201100401,2,2,179.7,179.7,149.818861488,214.995470036,429.502860698,Cover Crop,,
Deer Creek-Prairie Creek,051201100402,4,9,8.5,15.1,194.74385133,282.566438878,556.104027282,Riparian Forest Buffer,,
Wolf Creek,051201100403,3,8,94.2,103.3,2192.64107371,2197.96676262,4396.27764507,Cover Crop,,
Goldsberry Creek-Sugar Creek,051201100404,3,8,28.5203397612,43.3203397612,776.578162916,789.47727799,1579.55423488,Cover Crop,,
Withe Creek-Sugar Creek,051201100405,0,10,0,13.0484389348,309.94736061,314.211676879,628.39417333,N/a,,
Hazel Creek-Sugar Creek,051201100406,7,29,604.39,651.99,2189.20395078,2457.27755598,4909.70681081,Cover Crop,,
Town of Garfield-Sugar Creek,051201100407,1,5,21.76,22.96,93.9366909356,102.993788989,202.928338443,Cover Crop,,
Headwaters Sugar Mill Creek,051201100501,26,66,141.7,180.7,3894.8282047,3949.57588186,7815.08369742,Grassed Waterway,,
Headwaters Black Creek,051201100601,1,5,120,121.6,232.48462537,281.654181902,560.97005206,Cover Crop,,
Liberty Chapel-Black Creek,051201100602,0,34,0,37.8241046832,3023.8,3023.2,6044,N/a,,
Mill Creek-Sugar Creek,051201100604,5,31,21.7,114.9,608.455006643,665.400093296,1327.39888104,Cover Crop,,
Owl Creek-White River,051202010101,8,9,1212,1214,1826.94590287,2333.036955,4662.65461869,Cover Crop,,
Peach Creek-White River,051202010102,0,5,0,3.1241046832,112,130,258,N/a,,
Eightmile Creek-White River,051202010103,0,7,0,9.4080348944,323.2,353.5,706,N/a,,
Cabin Creek,051202010104,0,2,0,14.6,19.8933880637,25.1993698569,50.3625012767,N/a,,
Sparrow Creek-White River,051202010105,0,3,0,54.6,110.041494783,137.716341696,275.226741706,N/a,,
Little White River,051202010106,12,31,145.5,307.048209366,817.370624509,995.194080867,1986.37753637,Cover Crop,,
Little Stoney Creek-Stoney Creek,051202010107,8,14,134.5,140.2,471.222898001,525.082371287,1050.80006055,Cover Crop,,
Prairie Creek Reservoir-Prairie Creek,051202010108,7,8,141.52,142.62,202.149226012,263.327083467,526.327299633,Cover Crop,,
Mud Creek-White River,051202010109,0,1,0,22,20.4529073464,25.4336731707,50.83557188,N/a,,
Truitt Ditch-White River,051202010110,6,6,31,31,47.885179966,61.519738987,122.94705985,Cover Crop,,
Hamilton Ditch-Muncie Creek,051202010111,0,0,0,0,0,0,0,N/a,,
Little Buck Creek-Buck Creek,051202010201,5,5,184,184,298.965793774,369.811503027,739.168802026,Cover Crop,,
Bethel Brook-Bell Creek,051202010202,0,1,0,25.8,72,98,195,N/a,,
No Name Creek-Bell Creek,051202010203,2,2,10,10,16.4252607233,20.859464928,41.6893067416,Cover Crop,,
Macedonia Creek-Buck Creek,051202010204,4,8,122.69,122.94922865,178.061533592,228.663288111,456.974129714,Cover Crop,,
Mud Creek-Killbuck Creek,051202010301,0,0,0,0,0,0,0,N/a,,
Jakes Creek,051202010302,0,0,0,0,0,0,0,N/a,,
Thruston Ditch-Killbuck Creek,051202010303,0,0,0,0,0,0,0,N/a,,
Little Killbuck Creek,051202010304,1,10,4,42.1,113.530363873,138.618637146,277.060448747,Tree/Shrub Establishment,,
York Prairie Creek-White River,051202010305,1,4,0.0582185491276,0.458218549128,14.6764899113,12.9622967149,25.9391362262,Heavy Use Area Protection,,
Shoemaker Ditch-White River,051202010306,0,0,0,0,0,0,0,N/a,,
Moon Branch-Killbuck Creek,051202010307,0,0,0,0,0,0,0,N/a,,
Turkey Creek-White River,051202010308,0,0,0,0,0,0,0,N/a,,
Elm Run-Indian Creek,051202010309,2,3,99.2,99.7,177.464042062,220.666808001,441.043022473,Cover Crop,,
Town of Perkinsville-White River,051202010310,4,10,209.3,222,339.297692259,437.09046164,873.513717441,Cover Crop,,
Yeager Finley Menard Ditch-Pipe Creek,051202010401,0,0,0,0,0,0,0,N/a,,
Stem Run-Pipe Creek,051202010402,0,0,0,0,0,0,0,N/a,,
