HU_12_NAME,HUC_12,Inst_BMP,Active_BMP,Inst_Ac,Active_Ac,Sediment,Phosphorus,Nitrogen,Lead_BMP,x,y
Tippecanoe Lake-Tippecanoe River,051201060105,19,42,589.891735537,608.812006428,2574.00463355,2612.06321168,5225.91474883,Cover Crop,,
McCarter Ditch-Deeds Creek,051201060201,15,33,357.454958678,458.161689624,918.995576216,1004.6198328,2013.84325793,"Residue and Tillage Management, No Till",,
Pike Lake-Deeds Creek,051201060202,2,9,33.599862259,135.258911846,742.00610876,801.610134206,1597.51938318,Cover Crop,,
Winola Lake-Eagle Creek,051201060203,37,58,442.926251148,547.226609275,1068.52174122,1182.69212281,2377.04734822,Cover Crop,,
Eagle Creek-Walnut Creek,051201060204,30,48,986.9,1181.49087236,2259.34409924,2405.55991964,4830.72254854,"Residue and Tillage Management, No Till",,
Ruple Ditch-Tippecanoe River,051201060205,8,10,114.1,162.8,252,279,559,Cover Crop,,
Adams Ditch-Trimble Creek,051201060301,15,18,775.9,847.39,1693,1812,3630,"Residue and Tillage Management, No Till",,
Pole Run Ditch-Tippecanoe River,051201060302,7,9,241.9,266.96,377,422,849,Cover Crop,,
Palestine Lake-Trimble Creek,051201060303,6,7,225.3,226.51,367,401,807,Cover Crop,,
Ridenour Ditch-Danner Ditch,051201060304,2,5,17.3,22.06,32,40,78,CREP CP 23A Wetland Restoration - Non-floodplain (acres),,
Danner Ditch-Tippecanoe River,051201060305,9,21,194.62,294.31,463,642,1276,CREP CP 23A Wetland Restoration - Non-floodplain (acres),,
Shatto Ditch-Tippecanoe River,051201060401,20,36,462.598209,545.147988614,1043.02745789,1138.96062861,2285.01169642,Cover Crop,,
Outlet Creek,051201060402,26,27,751.86,755.27,848.194363166,1014.28514759,2036.58655172,Cover Crop,,
Rickle Ditch-Yellow Creek,051201060403,2,8,87.7,132.793213958,263.475330038,294.431933558,587.850125254,Forage and Biomass Planting,,
Little Yellow Creek-Yellow Creek,051201060404,0,3,0,60.83,89,129,258,N/a,,
Clarence Baker Ditch-Tippecanoe River,051201060405,1,15,48,53.3,1620,1630,3266,Cover Crop,,
Redinger Ditch-Tippecanoe River,051201060406,5,8,164.92,167.32,239,273,551,Cover Crop,,
Lake 16-Chippewanuck Creek,051201060407,8,21,2.45847107438,20.1103213958,63.3122687392,82.6168650183,164.166653552,Heavy Use Area Protection,,
Byrant Leininger Ditch-Chippenwanuck Creek,051201060408,9,12,158.77,159.484104683,344,367,735,Cover Crop,,
Reister Creek-Tippecanoe River,051201060409,3,3,40,40,54,60,121,Cover Crop,,
Robbin Taylor Ditch,051201060501,12,23,493.13,498.546069789,1338.4,1563.4,3120,Cover Crop,,
Lake Manitou- Mill Creek,051201060502,26,32,408.08,414.91,588.057963888,646.531169653,1303.10727091,Cover Crop,,
Smith Ditch-Mud Creek,051201060503,7,8,116.22,123.32,259,312,622,Cover Crop,,
Neff Ditch-Mud Creek,051201060504,5,8,65.02,90.25,128,163,327,Cover Crop,,
Grube Ditch-Mud Creek,051201060505,3,4,94.5,95.3,121.005938403,135.176626539,272.370205474,CREP CP 21 Filter Strips (ft and acres),,
Collins Ditch,051201060506,7,10,228.12,240.34,314,356,714,Cover Crop,,
Tilden Ditch-Mud Creek,051201060507,1,1,15.1,15.1,22,24,47,Cover Crop,,
Cowan Ditch-Eddy Creek,051201060508,2,7,8.27,23.9,42,53,101,CREP CP 21 Filter Strips (ft and acres),,
Zink Lake-Tippecanoe River,051201060509,9,11,185.07,195.54,253,283,567,Cover Crop,,
Lake Maxinkuckee,051201060601,1,4,3.1,15.2229568411,24,30,60,Upland Wildlife Habitat Management,,
House Ditch,051201060602,15,40,373.6,648.15,350.314993066,612.373781025,1214.94675822,Cover Crop,,
Slonaker Ditch-Tippecanoe River,051201060603,2,15,52.29,218.35,183.447347951,258.872669173,518.952864148,CREP CP 21 Filter Strips (ft and acres),,
Bartee Ditch-Tippecanoe River,051201060604,9,22,116.108838384,279.708838384,138.390955216,214.831948543,398.604329889,Cover Crop,,
Bruce Lake-Bruce Lake Outlet,051201060605,3,16,47.6,104.8843618,347.601808256,538.308988104,1073.66452825,Cover Crop,,
Dilts Anstis Ditch-Tippecanoe River,051201060606,1,8,6.3,22.2214187328,60.0178731668,55.66579422,111.505428884,Forage and Biomass Planting,,
Quigley Marsh Ditch,051201060607,4,7,40.6,49.4,25.0537408393,37.3180491646,75.7840828019,Conservation Cover,,
Tyler Weisjahn Ditch-Tippecane Ditch,051201060608,2,4,80.8,82.1,30.9378420074,43.2992406813,87.6222640483,Cover Crop,,
Headwaters Mill Creek,051201060701,0,0,0,0,0,0,0,N/a,,
Reed Olmstead Ditch-Mill Creek,051201060702,1,3,4.7,4.93337924702,17.4827805699,15.0109372985,30.9839039315,Cover Crop,,
Little Mill Creek,051201060703,1,4,50,151.51,145.528138761,191.469166975,385.670833635,Cover Crop,,
Wilson Ditch-Mill Creek,051201060704,2,4,79,102.2,112.028340287,128.790093294,259.955977811,Cover Crop,,
Prather Ditch-Mill Creek,051201060705,3,4,112.3,118.7,48.574229599,71.2096795786,144.526119473,Cover Crop,,
Walsh Ditch-Grassy Creek,051201060801,10,11,170.57,173.02,239,270,544,Cover Crop,,
Headwaters Indian Creek,051201060802,7,9,378.71,459.61,605.367758685,817.288614774,1630.14872979,Cover Crop,,
Fredericks Ditch-Little Indian Creek,051201060803,3,4,107.2,110.09,127,170,340,Cover Crop,,
Little Indian Creek,051201060804,2,4,11.4,59.3,77.8792264954,98.2927504795,198.582896665,CREP CP 21 Filter Strips (ft and acres),,
Town of Thornhope-Indian Creek,051201060805,1,5,62.3,68.1291827365,26.631596346,38.5192979171,78.0398578854,Cover Crop,,
Agnew Ditch,051201060901,30,32,983.56,988.56,355.618828132,509.031576869,1033.09056939,Cover Crop,,
Mud Creek,051201060902,8,15,153.8,167.609182736,72.9292624427,102.022482068,208.14143779,Conservation Cover,,
Budd Fisher Ditch-Tippecanoe River,051201060903,10,10,337.7,337.7,123,176,356,Cover Crop,,
Stout Ditch-Tippecanoe River,051201060904,2,2,229.4,229.4,71,105,212,Cover Crop,,
Scholtz Ditch,051201061001,21,32,191.91,237.37,154.292345229,218.863917725,446.026745949,Cover Crop,,
Headwaters Big Monon Ditch,051201061002,13,30,274.5,358.44,156.474594369,228.827032762,463.525261103,Cover Crop,,
Thompson Ditch-Big Monon Ditch,051201061003,15,23,464.28,491.58,230.80476105,337.201638829,680.094217037,Cover Crop,,
Lincoln Ditch-Big Monon Ditch,051201061004,2,3,86.1,87.68,33,47,94,Cover Crop,,
Antrim Ditch,051201061005,21,25,699.9,731,267.01051948,391.207269891,787.558144338,Cover Crop,,
Mosley Ditch,051201061006,1,1,32.5,32.5,12,17,35,Cover Crop,,
Stein Ditch-Big Monon Ditch,051201061007,9,9,323.4,323.4,133,186,376,Cover Crop,,
Big Monon Creek-Big Monon Ditch,051201061008,11,14,448.8,453.42,155,227,458,Cover Crop,,
Kesler Ditch-McKillip Ditch,051201061101,0,6,0,0.9,14.1624480677,12.5261303309,25.0350254125,N/a,,
Hill Ditch,051201061102,12,13,488.4,489.7,253.886085037,337.241940835,683.507233401,"Residue and Tillage Management, No Till",,
McKillip Ditch,051201061103,0,0,0,0,0,0,0,N/a,,
Brown Ditch-Big Monon Creek,051201061104,9,14,438,444.7,217.352596476,295.144699827,595.40703147,Cover Crop,,
Weltzin Ditch-Tippecanoe River,051201061201,5,6,50.9,64.9,34,48,98,Cover Crop,,
Harp Ditch-Tippecanoe River,051201061202,4,4,116.43,116.43,89,112,226,"Residue and Tillage Management, No Till",,
Hollingsworth Ditch-Hoagland Ditcj,051201061203,12,16,619.3,646.1,1055.90041235,1408.9362434,2810.24765636,"Residue and Tillage Management, No Till",,
Winters Ditch-Hoagland Ditch,051201061204,1,1,3.7,3.7,3,5,11,CREP CP 21 Filter Strips (ft and acres),,
Hoagland Bay-Hoagland Ditch,051201061205,0,0,0,0,0,0,0,N/a,,
Keans Creek,051201061206,0,0,0,0,0,0,0,N/a,,
Headwaters Honey Creek,051201061207,3,3,14.2,14.2,13,19,39,CREP CP 21 Filter Strips (ft and acres),,
Lake Shafer-Tippecanoe River,051201061208,4,5,14.04,20.04,16,25,49,CREP CP 21 Filter Strips (ft and acres),,
Pike Creek-Tippecanoe River,051201061301,0,1,0,6.9,5.97691389655,8.01592160689,16.1675204817,N/a,,
Bell Ditch-Big Creek,051201061302,0,1,0,1.5,15.1,15.1,30.2,N/a,,
Deiter Ditch-Big Creek,051201061303,0,0,0,0,0,0,0,N/a,,
Lake Freeman-Tippecanoe River,051201061304,0,1,0,0.5,46,46,92,N/a,,
Big Creek,051201061305,0,0,0,0,0,0,0,N/a,,
Spring Creek,051201061306,0,2,0,1.2,46,46,93,N/a,,
Myers Ditch-Moot Creek,051201061307,6,8,326.9,328.6,389.615379119,529.809904122,1059.61106769,Upland Wildlife Habitat Management,,
Moots Creek,051201061308,0,8,0,15.3,223.570425662,225.552185213,451.39211347,N/a,,
Benham Cemetary-Tippecanoe River,051201061309,6,7,181,183.4,275.097331028,356.808238307,710.604412163,Cover Crop,,
Headwaters Turkey Creek,051201070101,6,6,411,411,510,698,1395,Cover Crop,,
North Creek-Mud Creek,051201070102,17,19,751.5,759.5,1060.76110839,1412.45986642,2822.90345315,Cover Crop,,
Round Prairie Ditch-Turkey Creek,051201070103,2,3,39.6,41.1,67.9594902698,86.4449861544,173.887220902,Cover Crop,,
Middle Fork Ditch,051201070104,0,0,0,0,0,0,0,N/a,,
Grassy Fork,051201070105,0,0,0,0,0,0,0,N/a,,
Mud Creek,051201070106,2,2,67.05,67.05,106,150,298,Cover Crop,,
Kokomo Waterworks Reservoir No. 2-Wildcat Creek,051201070107,2,3,80.1,80.2,127.5,162.5,325,"Residue and Tillage Management, No Till",,
Taylor Run-Kokomo Creek,051201070108,11,11,429,429,552,746,1491,Cover Crop,,
Cannon-Goyer Ditch-Wildcat Creek,051201070109,0,0,0,0,0,0,0,N/a,,
Harness Ditch-Middle Fork Wildcat Creek,051201070201,1,3,51.1,56,103.350301175,129.878961132,260.733675644,Cover Crop,,
Robertson Branch-Middle Fork Wildcat Creek,051201070202,2,7,57.9,63,300.736642486,327.173272599,653.345018705,Cover Crop,,
Campbells Run,051201070203,5,22,116.2,139.8,1987.35799446,2042.76976747,4084.12330998,Cover Crop,,
Town of Rossville-Middle Fork Wildcat Creek,051201070204,1,17,0.1,6.20789715335,471.171594309,572.776275859,1136.58644981,Early Successional Habitat Development-Mgt,,
Hog Run-Middle Fork Wildcat Creek,051201070205,2,7,2,10.1951561065,15.7305953563,21.1284262095,42.2159620798,Watering Facility,,
Swamp Creek,051201070301,2,10,46.0294733777,58.1294733777,291.226164865,322.671788043,644.491470608,Cover Crop,,
Shanty Creek-Kilmore Creek,051201070302,0,0,0,0,0,0,0,N/a,,
Stump Ditch-Kilmore Creek,051201070303,1,6,63.5,75.3776859504,296.660751259,327.367832959,653.92438278,Cover Crop,,
Talbert Ditch-South Fork Wildcat Creek,051201070304,5,9,408.608191675,482.892558066,920.766853704,1166.21819892,2371.09381582,Cover Crop,,
Prairie Creek,051201070305,6,14,40.6077313797,53.4609912511,419.5,474.9,1061,Cover Crop,,
Kilmore Creek,051201070306,6,19,461.5,475.798209366,1107.52058352,1322.79829558,2642.4965644,Cover Crop,,
Spring Creek,051201070307,2,6,0.3,0.606887052342,15.6400997271,13.0847925592,27.1988349502,Cover Crop,,
Jenkins Ditch-South Fork Wildcat Creek,051201070308,11,26,369.149598416,455.149598415,1148.79057152,1369.90849593,2740.80315654,Cover Crop,,
Lauramie Creek,051201070309,0,0,0,0,0,0,0,N/a,,
Town of MUlberry-South Fork Wildcat Creek,051201070310,1,2,0.1,0.153719008264,0,2.9,34.7,Conservation Cover,,
Town of Dayton-South Fork Wildcat Creek,051201070311,2,8,22.1,26.5807162534,85.2,99.2,195.4,Conservation Cover,,
West Fork-Little Wildcat Creek,051201070401,0,0,0,0,0,0,0,N/a,,
Little Wildcat Creek,051201070402,7,10,261.6,346,501.450385762,678.762564851,1359.09374437,Cover Crop,,
Kitty Run-Wildcat Creek,051201070403,14,16,299.55,306.65,1104.9,1257.9,2516.8,Cover Crop,,
Honey Creek,051201070404,26,37,650.84,666.672139578,1794.61046818,2107.20300543,4211.48968759,Cover Crop,,
Dearinger Ditch-Wildcat Creek,051201070405,6,15,189.1,200.4,728.3,922.3,1842.7,Cover Crop,,
Petes Run-Wildcat Creek,051201070406,15,20,415,415.657116621,623.402969211,812.863088795,1620.73155398,Cover Crop,,
Hurricane Creek-Hurricane Creek,051201070407,2,21,54.6,80.7744719927,669.667083174,897.725065837,1948.58528396,Cover Crop,,
Town of Owasco-Wildcat Creek,051201070408,1,28,12.9,234.440633609,485.560632752,615.081713691,1228.24691075,Cover Crop,,
Dry Run-Wildcat Creek,051201070409,21,21,344.7,344.7,629,779,1560,"Residue and Tillage Management, No Till",,
Romney Fraley Ditch,051201080101,7,23,229.95,268.003507805,977.240735835,1172.02367363,2341.88435296,Cover Crop,,
East Branch Wea Creek,051201080102,4,15,10.16,76.36,539.247708757,722.856096704,1443.55525992,Conservation Cover,,
Haywood Ditch-Wea Creek,051201080103,3,10,43,69.5,775.611653314,822.981931397,1648.02817668,Grassed Waterway,,
Elliot Ditch,051201080104,2,16,2.38184055922,86.5640260505,409.359177228,299.846230033,1446.30027397,Conservation Cover,,
Little Wea Creek,051201080105,48,77,1600.29489542,1755.11257219,3957.79563709,4903.63613414,10060.3863171,Cover Crop,,
Kenny Ditch-Wea Creek,051201080106,3,8,150.327240891,156.736423627,362.516015568,437.235418562,872.418977089,Cover Crop,,
North Fork Burnett Creek,051201080201,8,21,517.768783557,688.468783557,1750.20100147,2394.38024901,4670.55266973,Cover Crop,,
Headwaters Burnett Creek,051201080202,18,23,389.699068776,403.299068776,1069.268,1278.268,2555.536,Cover Crop,,
Cedar Hollow-Wabash River,051201080203,0,24,0,30.1210284665,28.170866486,257.661681567,278.577417342,N/a,,
Headwaters Mud Pine Creek,051201080301,6,7,371.820661157,372.920661157,400.444673838,559.225370246,1116.44507195,Cover Crop,,
Seamons Ditch-Mud Pine Creek,051201080302,23,27,976.40211092,999.30211092,1108.97639648,1538.39178375,3068.71208496,Cover Crop,,
Goose Creek-Mud Pine Creek,051201080303,39,56,1064.3,1108.64591368,1836.26097144,2335.68714091,4668.15403103,Early Successional Habitat Development-Mgt,,
Spring Branch-Mud Pine Creek,051201080304,8,28,84.8,197.061294766,1193.80006287,1628.17637653,3187.20731306,Early Successional Habitat Development-Mgt,,
Roudebush Ditch-Big Pine Creek,051201080401,0,0,0,0,0,0,0,N/a,,
Big Pine Creek Ditch-Big Pine Creek,051201080402,29,39,1326.3,1336.06267218,2045.20835821,2608.95530815,5222.89860794,Cover Crop,,
Little Pine Creek,051201080403,12,23,523.534459998,563.611594984,746.774540067,962.760182648,1918.39928809,Cover Crop,,
Owens Ditch-Big Pine Creek,051201080404,39,49,1269.52754821,1298.82419651,1709.15258279,2278.11634251,4551.29815559,Cover Crop,,
Brumm Ditch-Big Pine Creek,051201080405,14,28,371.3,399.920982553,886.829890372,1132.20297739,2205.4382142,Cover Crop,,
Darby Ditch-Big Pine Creek,051201080406,12,16,508.730512123,512.030512123,619.700394961,840.081119101,1680.15325108,Cover Crop,,
Brown Ditch,051201080407,6,17,419.4,441.380348944,682.258794247,893.516475099,1788.00171346,Cover Crop,,
Harrington Creek-Big Pine Creek,051201080408,9,9,164.9,164.9,269,368,738,Early Successional Habitat Development-Mgt,,
Pine Village-Big Pine Creek,051201080409,11,21,175.8,204.924104683,454.145868461,533.065273737,1070.74890972,Early Successional Habitat Development-Mgt,,
Hog Back Hill-Big Pine Creek,051201080410,32,39,446.1,573.9,1378.28278545,1733.08546262,3466.53675468,Conservation Cover,,
Indian Creek,051201080501,3,18,7.1,180.2,509.698160476,721.214979931,1435.76462049,Conservation Cover,,
Jordan Creek-Wabash River,051201080502,7,28,122.8,691.76,1436.88883976,2381.24659864,4651.89665109,CREP CP 23 Wetland Restoration within the 100-year floodplain (acres),,
Lost Creek-Wabash River,051201080503,2,16,26.32,135.728034894,598.008245487,870.828919396,1707.64038159,CREP CP 23 Wetland Restoration within the 100-year floodplain (acres),,
Flint Run-Flint Creek,051201080504,3,20,305.591688961,319.417859759,1674.16744947,1817.08387127,3631.1542729,Cover Crop,,
Otterbein Ditch-Little Pine Creek,051201080505,8,24,236.273625724,339.253625724,860.550381809,1087.10616571,2150.10401951,Cover Crop,,
Armstrong Creek-Little Pine Creek,051201080506,17,28,885.1,980.827447199,1737.80363414,2171.025396,4332.59877005,Cover Crop,,
Flint Creek-Wabash River,051201080507,2,4,105.8,110.82,331.642669608,402.943356784,806.884959243,Cover Crop,,
Headwaters Kickapoo Creek,051201080508,4,4,106.4,106.4,196,242,482,Cover Crop,,
West Fork Kickapoo Creek,051201080509,0,2,0,22.3,55.155646387,71.3433095393,141.578782305,N/a,,
Turkey Run-Wabash River,051201080510,14,28,362.3,506.62,1429.60087096,1691.74071509,3379.18866795,Cover Crop,,
Headwaters Big Shawnee Creek,051201080601,22,64,797.6,867.998025712,4729.93987722,5139.18000784,10261.9646536,Cover Crop,,
Little Shawnee Creek-Big Shawnee Creek,051201080602,3,28,93.5,118.906887052,1367.90963693,1419.52792876,2834.92755233,Cover Crop,,
Fall Branch-Wabash River,051201080603,0,7,0,27.1584940312,211.216886604,227.787990679,453.460856701,N/a,,
Rock Creek-Wabash River,051201080604,5,11,214.3,220.4,394.87676506,490.076493406,981.126171843,Cover Crop,,
Redwood Creek,051201080605,6,20,254.8,274.465128558,1073.59668841,1194.86590249,2382.73011732,Cover Crop,,
Opossum Run,051201080606,3,13,2.2,8.22424242424,118.407504087,114.74304045,228.519956742,Early Successional Habitat Development-Mgt,,
Racoon Creek-Wabash River,051201080607,6,15,168.7,308.1,1164.50366011,1280.53500145,2552.01161517,Cover Crop,,
Mallory Branch-Wabash River,051201080608,3,44,210.3,354.576069789,2008.62011919,2224.21515173,4442.58699095,Conservation Cover,,
Joseph Ludlow Ditch-Joseph Ludlow Ditch,051201080701,0,8,0,10.9,688.183678569,688.82051924,1375.2367159,N/a,,
Turkey Run,051201080702,0,17,0,15.6220385675,557.48608435,560.68293003,1116.44342461,N/a,,
Charles Ludloe Ditch-North Fork Coal Creek,051201080703,5,23,108.5,124.631336088,1098.7,1183.7,2359.4,Cover Crop,,
Harrison Lake-Coal Creek,051201080704,7,55,104.5,158.165656566,4402.6947424,4465.39769991,8975.8272093,Cover Crop,,
Headwaters East Fork Coal Creek,051201080705,1,22,0.6,18.4080348944,494.01910108,496.709302059,989.59996639,Pollinator Habitat,,
Town of Hillsboro-East Fork Coal Creek,051201080706,0,15,0,5.9222681359,264.441518085,260.565884053,517.162175749,N/a,,
Rose Cemetary-East Fork Coal Creek,051201080707,0,58,0,37.1515381084,1919.98442838,1913.08984238,3714.56318923,N/a,,
Dry Run-Coal Creek,051201080708,2,72,1.7,195.32,3516.3188139,3604.54482913,7203.43137582,CREP CP 21 Filter Strips (ft and acres),,
Spring Creek,051201080801,0,4,0,17.6,44.1807279765,56.5919033786,114.094768766,N/a,,
Jordan Creek,051201080802,7,13,61.8,66.9339302112,305.9,395.9,781.3,Cover Crop,,
Collette Pond-Wabash River,051201080803,0,12,0,17.4,376.183124807,584.190246716,762.33011426,N/a,,
Graham Creek,051201080901,0,61,0,65.1061983471,2605.04752735,2619.19697207,5323.63808182,N/a,,
Prairie Creek,051201080902,7,36,73.2,120.7,2187.07353275,2280.10629883,4556.07405364,Cover Crop,,
Cooper Chapel-Coal Creek,051201080903,13,62,195.28,269.58,3493.85220658,2766.32029602,5545.8293005,Cover Crop,,
Upper Jordan Creek,051201090701,1,2,1,1.0241046832,6.9,6.9,15,Early Successional Habitat Development-Mgt,,
Little Creek,051201090702,0,0,0,0,0,0,0,N/a,,
Whipporwill Branch-Middle Branch,051201090703,2,5,159.2,162.316069789,603,671,1343,Cover Crop,,
Middle Jordan Creek,051201090704,0,0,0,0,0,0,0,N/a,,
Lower Jordan Creek,051201090705,0,0,0,0,0,0,0,N/a,,
Leuch Ditch,051201090801,3,5,3.3,9.26574839302,18,23,46,Early Successional Habitat Development-Mgt,,
Prairie Green-North Fork Vermilion River,051201090802,0,0,0,0,0,0,0,N/a,,
Hoffman Cemetery-Stony Creek,051201090902,0,0,0,0,0,0,0,N/a,,
Lick Creek,051201090903,0,0,0,0,0,0,0,N/a,,
Coal Branch,051201090905,5,14,134.5,154.6,404.124502208,470.405698163,979.039671524,Cover Crop,,
Mallott Ditch-Sugar Creek,051201100101,18,18,642.8,642.8,1131,1419,2837,Cover Crop,,
Scott Wincoup Ditch-Sugar Creek,051201100102,1,9,15.1,55.9,868.178619432,899.94693597,1798.71381034,Cover Crop,,
Mud Creek,051201100103,5,8,37.8,42.9639348026,235.555835301,245.322682616,491.624745027,Cover Crop,,
Rose Ditch-Brown Wonder Creek,051201100104,0,2,0,0.9,180.1,180.6,361,N/a,,
Barnes Ditch-Sugar Creek,051201100105,4,8,3.12754820937,6.99761248852,411.7,414.7,822.5,Grassed Waterway,,
Reagan Run,051201100106,0,5,0,6.5120523416,948.061868767,948.848905732,1897.79256419,N/a,,
Spring Creek-Sugar Creek,051201100107,0,3,0,4.6,433,433,866.5,N/a,,
Brush Creek-Sugar Creek,051201100108,0,6,0,44.2,70.6944308559,90.7791364166,180.491258256,N/a,,
Headwaters Little Potatoe Creek,051201100201,2,3,4.4,5.3,116.84,118.84,237.68,Conservation Cover,,
Bowers Creek,051201100202,0,9,0,27.0160697888,517,598,1166,N/a,,
Lye Creek Drain,051201100203,0,4,0,1.7,141.6,141,284,N/a,,
Little Potatoe Creek-Lye Creek,051201100204,5,12,74.8973370064,78.4973370064,209,240,481,Heavy Use Area Protection,,
Little Creek-Little Sugar Creek,051201100301,1,3,0.0223829201102,3.81549586777,290.2,298.9,598.8,Fence,,
Little Sugar Creek,051201100302,0,26,0,27.8,1003.92623091,1000.45200037,1998.9509675,N/a,,
Town of Linnsburg-Walnut Fork Sugar Creek,051201100303,8,32,138.7,163.116069789,1526.57980201,1597.24641203,3196.37719234,Cover Crop,,
Sanitary Ditch-Prairie Creek,051201100401,0,0,0,0,0,0,0,N/a,,
Deer Creek-Prairie Creek,051201100402,0,9,0,15.1,194.74385133,282.566438878,556.104027282,N/a,,
Wolf Creek,051201100403,7,14,32.1444214876,63.1444214876,2162.96715709,2154.54579523,4309.63428117,Conservation Cover,,
Goldsberry Creek-Sugar Creek,051201100404,0,7,0,18.3203397612,751.435396431,754.709783506,1510.08914338,N/a,,
Withe Creek-Sugar Creek,051201100405,0,12,0,9.4484389348,302.729230091,304.460077354,608.909378288,N/a,,
Hazel Creek-Sugar Creek,051201100406,7,22,102,127.9,1514.76980027,1576.9890845,3147.93546574,Forage and Biomass Planting,,
Town of Garfield-Sugar Creek,051201100407,11,15,156.250964187,157.450964187,301,364,727,Cover Crop,,
Headwaters Sugar Mill Creek,051201100501,1,65,76,135.4,3836.8075522,3872.80034739,7660.87540173,Cover Crop,,
Headwaters Black Creek,051201100601,0,4,0,1.6,72.3924355137,72.4595703043,142.918718963,N/a,,
Liberty Chapel-Black Creek,051201100602,1,35,65.6,103.424104683,3117.8,3144.2,6287,Cover Crop,,
Mill Creek-Sugar Creek,051201100604,38,61,943.3,957.6,1824.25433167,2205.85960716,4404.76599603,Cover Crop,,
Owl Creek-White River,051202010101,6,7,297.6,299.6,370.38259079,490.726174992,982.450535543,Cover Crop,,
Peach Creek-White River,051202010102,0,6,0,5.6241046832,117.61885015,137.357256488,272.70202565,N/a,,
Eightmile Creek-White River,051202010103,9,16,381.513774105,390.921808999,1310.2,1490.5,2981,Cover Crop,,
Cabin Creek,051202010104,10,20,473.4,517.6,952.317758104,1327.05983061,2598.01503765,Cover Crop,,
Sparrow Creek-White River,051202010105,0,2,0,15.4,47.5853387917,50.1026107708,100.190144711,N/a,,
Little White River,051202010106,16,37,483.7,574.648209366,1203.81141327,1473.36290237,2942.26675527,Cover Crop,,
Little Stoney Creek-Stoney Creek,051202010107,17,23,360.530991736,366.230991736,1317.82076963,1461.47846902,2923.97457264,Cover Crop,,
Prairie Creek Reservoir-Prairie Creek,051202010108,5,6,86.7,87.8,131.3,169.3,338.7,Cover Crop,,
Mud Creek-White River,051202010109,7,10,77.92,105.92,147.852826535,190.000973737,380.939643437,Cover Crop,,
Truitt Ditch-White River,051202010110,5,5,14.4345041322,14.4345041322,25,32,64,Conservation Cover,,
Hamilton Ditch-Muncie Creek,051202010111,3,3,98.68,98.68,144,197,392,Cover Crop,,
Little Buck Creek-Buck Creek,051202010201,5,6,223.44,228.36,357.265787295,443.146095925,888.287916809,Cover Crop,,
Bethel Brook-Bell Creek,051202010202,13,14,198.4,224.2,350,460,919,Cover Crop,,
No Name Creek-Bell Creek,051202010203,15,15,774.22,774.22,921,1244,2488,Cover Crop,,
Macedonia Creek-Buck Creek,051202010204,57,63,2055.01,2058.26922865,2543.52456597,3424.02583381,6832.06634638,Cover Crop,,
Mud Creek-Killbuck Creek,051202010301,0,0,0,0,0,0,0,N/a,,
Jakes Creek,051202010302,3,3,120.7,120.7,150,201,403,Cover Crop,,
Thruston Ditch-Killbuck Creek,051202010303,4,4,152.1,152.1,187,252,502,Cover Crop,,
Little Killbuck Creek,051202010304,1,5,66.8,71.2,128.671564535,156.876508559,313.770275332,Cover Crop,,
York Prairie Creek-White River,051202010305,0,5,0,30.9382185491,41.8814628084,47.0696052271,94.10919801,N/a,,
Shoemaker Ditch-White River,051202010306,0,0,0,0,0,0,0,N/a,,
Moon Branch-Killbuck Creek,051202010307,0,0,0,0,0,0,0,N/a,,
Turkey Creek-White River,051202010308,0,0,0,0,0,0,0,N/a,,
Elm Run-Indian Creek,051202010309,1,3,33.2,34.2,78.4884557834,91.5918704798,184.201228316,Cover Crop,,
Town of Perkinsville-White River,051202010310,0,8,0,25.1,41.3109662718,48.3222047778,96.6034396609,N/a,,
Yeager Finley Menard Ditch-Pipe Creek,051202010401,0,0,0,0,0,0,0,N/a,,
Stem Run-Pipe Creek,051202010402,0,0,0,0,0,0,0,N/a,,
Star Creek-Mud Creek,051202010403,3,4,74.9,102.1,203.77650775,249.646579944,500.153473929,Grassed Waterway,,
Polecat Creek-Pipe Creek,051202010404,2,2,54,54,91,116,233,Cover Crop,,
Lilly Creek-Pipe Creek,051202010405,4,6,281.7,282.6,555,678,1353,Cover Crop,,
Swanfelt Ditch-Pipe Creek,051202010406,2,5,0.071189164371,26.8711891644,60.3761846006,79.4434145608,158.748651689,Fence,,
Shell Cemetary-Pipe Creek,051202010407,0,3,0,8.01,12.8960501422,14.651245408,29.2934047564,N/a,,
Todd Ditch-Duck Creek,051202010501,0,0,0,0,0,0,0,N/a,,
Little Duck Creek-Big Duck Creek,051202010502,2,2,105.49,105.49,139,184,368,"Residue and Tillage Management, No Till",,
Polywog Creek-Duck Creek,051202010503,3,3,133.45,133.45,176,233,465,"Residue and Tillage Management, No Till",,
Bear Creek,051202010504,1,4,4.1,8.41496786042,15.6012912431,19.8404965115,39.6736034307,Early Successional Habitat Development-Mgt,,
Lamberson Ditch-Duck Creek,051202010505,7,8,12.03,13.33,19.5520634121,22.7751052922,48.5490345559,CREP CP 31 Bottom Timber Establishment on Wetland (ft and acres),,
Prairie Creek,051202010601,3,7,74.45,81.85,335,672,1120,"Residue and Tillage Management, No Till",,
Cox Ditch,051202010602,0,1,0,0.482093663912,82,116,232,N/a,,
Dixon Creek-Cicero Creek,051202010603,7,7,226.2,226.2,365,483,962,Cover Crop,,
Buck Creek-Cicero Creek,051202010604,0,0,0,0,0,0,0,N/a,,
