HUC Name,HUC Code,Inst_BMP,Active_BMP,Inst_Ac,Active_Ac,Sediment,Phosphorus,Nitrogen,Most Frequent BMP,x,y
Big Creek,051201061305,0,0,0,0,0,0,0,N/a,,
Spring Creek,051201061306,0,3,0,12,38,41,84,N/a,,
Myers Ditch-Moot Creek,051201061307,0,0,0,0,0,0,0,N/a,,
Moots Creek,051201061308,0,2,0,8,9.,11,22,N/a,,
Benham Cemetary-Tippecanoe River,051201061309,4,4,10,10,11,15,30,Cover Crop,,
Headwaters Turkey Creek,051201070101,7,7,71,71,93,12,25,Cover Crop,,
North Creek-Mud Creek,051201070102,3,3,83,83,11,14,29,Conservation Cover,,
Round Prairie Ditch-Turkey Creek,051201070103,1,1,20,20,30,39,78,"Residue and Tillage Management, No-Till",,
Middle Fork Ditch,051201070104,1,1,4,4,7.,9.,18,Cover Crop,,
Grassy Fork,051201070105,1,1,26,26,37,50,10,Cover Crop,,
Mud Creek,051201070106,9,9,17,17,28,36,73,"Residue and Tillage Management, No-Till",,
Kokomo Waterworks Reservoir No. 2-Wildcat Creek,051201070107,12,14,33,34,51,66,13,"Residue and Tillage Management, No-Till",,
Taylor Run-Kokomo Creek,051201070108,15,17,41,42,64,83,16,"Residue and Tillage Management, No-Till",,
Cannon-Goyer Ditch-Wildcat Creek,051201070109,2,2,11,11,15,20,41,Cover Crop,,
Harness Ditch-Middle Fork Wildcat Creek,051201070201,2,4,85,88,16,20,40,Cover Crop,,
Robertson Branch-Middle Fork Wildcat Creek,051201070202,1,2,0.,0.,11,9.,19,Heavy Use Area Protection,,
Campbells Run,051201070203,23,43,12,13,36,42,84,Cover Crop,,
Town of Rossville-Middle Fork Wildcat Creek,051201070204,21,24,80,80,13,16,33,Cover Crop,,
Hog Run-Middle Fork Wildcat Creek,051201070205,26,29,11,11,19,24,49,Cover Crop,,
Swamp Creek,051201070301,3,9,94,10,32,36,73,Cover Crop,,
Shanty Creek-Kilmore Creek,051201070302,2,2,65,65,12,14,29,Cover Crop,,
Stump Ditch-Kilmore Creek,051201070303,6,7,24,24,48,60,12,Cover Crop,,
Talbert Ditch-South Fork Wildcat Creek,051201070304,7,9,28,28,60,74,15,Cover Crop,,
Prairie Creek,051201070305,5,10,11,12,47,54,10,Cover Crop,,
Kilmore Creek,051201070306,36,47,11,12,23,29,58,Cover Crop,,
Spring Creek,051201070307,2,2,14,14,24,30,61,Cover Crop,,
Jenkins Ditch-South Fork Wildcat Creek,051201070308,45,55,18,18,35,43,87,Cover Crop,,
Lauramie Creek,051201070309,10,10,44,44,51,70,14,Cover Crop,,
Town of MUlberry-South Fork Wildcat Creek,051201070310,11,14,36,36,66,83,17,Cover Crop,,
Town of Dayton-South Fork Wildcat Creek,051201070311,19,21,74,74,90,12,24,Cover Crop,,
West Fork-Little Wildcat Creek,051201070401,3,3,15,15,22,30,60,"Residue and Tillage Management, No-Till",,
Little Wildcat Creek,051201070402,8,8,51,51,71,96,19,Cover Crop,,
Kitty Run-Wildcat Creek,051201070403,2,3,3.,8.,67,67,13,Conservation Cover,,
Honey Creek,051201070404,9,13,10,10,10,10,21,Grassed Waterway,,
Dearinger Ditch-Wildcat Creek,051201070405,1,6,20,24,27,28,56,Cover Crop,,
Petes Run-Wildcat Creek,051201070406,4,10,52,55,11,14,28,Cover Crop,,
Hurricane Creek-Hurricane Creek,051201070407,5,23,5.,13,31,40,80,Heavy Use Area Protection,,
Town of Owasco-Wildcat Creek,051201070408,35,39,67,67,10,13,27,Cover Crop,,
Dry Run-Wildcat Creek,051201070409,4,4,12,12,17,22,45,Cover Crop,,
Romney Fraley Ditch,051201080101,10,11,20,20,57,66,13,Conservation Cover,,
East Branch Wea Creek,051201080102,7,13,29,30,43,56,11,Cover Crop,,
Haywood Ditch-Wea Creek,051201080103,1,3,22,23,49,58,11,Cover Crop,,
Elliot Ditch,051201080104,2,2,32,32,29,50,18,Cover Crop,,
Little Wea Creek,051201080105,5,7,45,45,60,86,20,Cover Crop,,
Kenny Ditch-Wea Creek,051201080106,12,19,56,57,77,10,20,Cover Crop,,
North Fork Burnett Creek,051201080201,0,6,0,7.,56,56,11,N/a,,
Headwaters Burnett Creek,051201080202,7,12,11,12,54,59,11,Cover Crop,,
Cedar Hollow-Wabash River,051201080203,5,14,0.,0.,0.,21,17,Urban: Rain Garden,,
Headwaters Mud Pine Creek,051201080301,6,6,57,57,71,96,19,Cover Crop,,
Seamons Ditch-Mud Pine Creek,051201080302,3,3,29,29,38,51,10,Cover Crop,,
Goose Creek-Mud Pine Creek,051201080303,5,5,15,15,19,26,52,Cover Crop,,
Spring Branch-Mud Pine Creek,051201080304,4,7,64,67,87,12,24,Critical Area Planting,,
Roudebush Ditch-Big Pine Creek,051201080401,4,4,13,13,93,11,23,Cover Crop,,
Big Pine Creek Ditch-Big Pine Creek,051201080402,24,24,15,15,18,25,50,Cover Crop,,
Little Pine Creek,051201080403,0,0,0,0,0,0,0,N/a,,
Owens Ditch-Big Pine Creek,051201080404,24,24,10,10,13,17,35,Cover Crop,,
Brumm Ditch-Big Pine Creek,051201080405,16,16,79,79,93,12,25,Cover Crop,,
Darby Ditch-Big Pine Creek,051201080406,1,1,71,71,81,11,22,Cover Crop,,
Brown Ditch,051201080407,0,0,0,0,0,0,0,N/a,,
Harrington Creek-Big Pine Creek,051201080408,0,0,0,0,0,0,0,N/a,,
Pine Village-Big Pine Creek,051201080409,0,5,0,4.,50,48,96,N/a,,
Hog Back Hill-Big Pine Creek,051201080410,3,3,74,74,13,17,34,Cover Crop,,
Indian Creek,051201080501,3,9,53,56,11,13,28,Grassed Waterway,,
Jordan Creek-Wabash River,051201080502,0,2,0,14,24,34,68,N/a,,
Lost Creek-Wabash River,051201080503,19,19,37,37,50,67,13,Cover Crop,,
Flint Run-Flint Creek,051201080504,10,14,10,10,13,17,35,Cover Crop,,
Otterbein Ditch-Little Pine Creek,051201080505,2,9,11,14,52,61,12,Cover Crop,,
Armstrong Creek-Little Pine Creek,051201080506,4,6,15,15,71,79,15,Field Border,,
Flint Creek-Wabash River,051201080507,0,3,0,75,16,22,44,N/a,,
Headwaters Kickapoo Creek,051201080508,0,6,0,15,49,60,12,N/a,,
West Fork Kickapoo Creek,051201080509,1,5,6.,48,12,15,31,Wetland Wildlife Habitat Management,,
Turkey Run-Wabash River,051201080510,3,6,11,14,37,45,91,Cover Crop,,
Headwaters Big Shawnee Creek,051201080601,31,52,92,98,44,48,97,Cover Crop,,
Little Shawnee Creek-Big Shawnee Creek,051201080602,7,9,27,28,87,10,20,Cover Crop,,
Fall Branch-Wabash River,051201080603,0,1,0,1.,83,83,16,N/a,,
Rock Creek-Wabash River,051201080604,1,1,40,40,75,92,18,Upland Wildlife Habitat Management,,
Redwood Creek,051201080605,45,47,87,87,21,24,49,Cover Crop,,
Opossum Run,051201080606,5,7,80,81,22,25,50,Grassed Waterway,,
Racoon Creek-Wabash River,051201080607,13,17,30,39,10,11,23,Cover Crop,,
Mallory Branch-Wabash River,051201080608,5,7,5,5.,31,31,62,Grassed Waterway,,
Joseph Ludlow Ditch-Joseph Ludlow Ditch,051201080701,5,6,8,9.,67,67,13,Grassed Waterway,,
Turkey Run,051201080702,5,5,6.,6.,32,32,64,Grassed Waterway,,
Charles Ludloe Ditch-North Fork Coal Creek,051201080703,6,19,11,17,69,78,15,Cover Crop,,
Harrison Lake-Coal Creek,051201080704,13,28,11,17,33,33,67,Grassed Waterway,,
Headwaters East Fork Coal Creek,051201080705,4,11,3.,7.,35,35,70,Grassed Waterway,,
Town of Hillsboro-East Fork Coal Creek,051201080706,0,4,0,7.,13,14,28,N/a,,
Rose Cemetary-East Fork Coal Creek,051201080707,3,20,1.,8.,65,65,12,Grassed Waterway,,
Dry Run-Coal Creek,051201080708,6,11,5,14,17,17,35,Grassed Waterway,,
Spring Creek,051201080801,0,1,0,9.,21,28,56,N/a,,
Jordan Creek,051201080802,0,1,0,0.,10,10,27,N/a,,
Collette Pond-Wabash River,051201080803,0,7,0,11,28,28,57,N/a,,
Graham Creek,051201080901,7,29,3.,35,14,14,28,Grassed Waterway,,
Prairie Creek,051201080902,4,7,3,12,87,88,17,Grassed Waterway,,
Cooper Chapel-Coal Creek,051201080903,5,11,14,25,13,49,99,Grassed Waterway,,
Upper Jordan Creek,051201090701,1,1,14,14,23,29,58,Cover Crop,,
Little Creek,051201090702,0,0,0,0,0,0,0,N/a,,
Whipporwill Branch-Middle Branch,051201090703,0,0,0,0,0,0,0,N/a,,
Middle Jordan Creek,051201090704,0,0,0,0,0,0,0,N/a,,
Lower Jordan Creek,051201090705,0,0,0,0,0,0,0,N/a,,
Leuch Ditch,051201090801,6,6,51,51,55,77,15,Cover Crop,,
Prairie Green-North Fork Vermilion River,051201090802,0,0,0,0,0,0,0,N/a,,
Hoffman Cemetery-Stony Creek,051201090902,4,4,30,30,52,65,13,Cover Crop,,
Lick Creek,051201090903,0,0,0,0,0,0,0,N/a,,
Coal Branch,051201090905,0,5,0,6.,82,82,20,N/a,,
Mallott Ditch-Sugar Creek,051201100101,1,9,27,39,84,10,21,Cover Crop,,
Scott Wincoup Ditch-Sugar Creek,051201100102,2,10,15,20,79,79,15,Cover Crop,,
Mud Creek,051201100103,2,2,36,36,37,51,10,Cover Crop,,
Rose Ditch-Brown Wonder Creek,051201100104,20,20,54,54,86,10,21,Cover Crop,,
Barnes Ditch-Sugar Creek,051201100105,8,9,17,17,49,57,11,Cover Crop,,
Reagan Run,051201100106,1,7,38,46,39,41,82,"Residue and Tillage Management, No-Till",,
Spring Creek-Sugar Creek,051201100107,14,16,32,32,85,98,19,"Residue and Tillage Management, No-Till",,
Brush Creek-Sugar Creek,051201100108,4,4,17,17,45,52,10,"Residue and Tillage Management, No-Till",,
Headwaters Little Potatoe Creek,051201100201,0,0,0,0,0,0,0,N/a,,
Bowers Creek,051201100202,7,7,8.,8.,33,34,68,Conservation Cover,,
Lye Creek Drain,051201100203,5,5,23,23,17,18,37,Grassed Waterway,,
Little Potatoe Creek-Lye Creek,051201100204,7,9,11,11,24,29,59,Cover Crop,,
Little Creek-Little Sugar Creek,051201100301,1,2,1.,3.,27,27,54,Grassed Waterway,,
Little Sugar Creek,051201100302,16,19,14,14,10,10,21,Grassed Waterway,,
Town of Linnsburg-Walnut Fork Sugar Creek,051201100303,36,41,49,51,19,21,42,Cover Crop,,
Sanitary Ditch-Prairie Creek,051201100401,8,8,17,17,24,31,63,Cover Crop,,
Deer Creek-Prairie Creek,051201100402,2,4,11,11,20,24,49,Cover Crop,,
Wolf Creek,051201100403,5,5,9.,9.,21,20,41,Grassed Waterway,,
Goldsberry Creek-Sugar Creek,051201100404,4,5,13,14,73,73,14,Grassed Waterway,,
Withe Creek-Sugar Creek,051201100405,0,2,0,5.,15,19,38,N/a,,
Hazel Creek-Sugar Creek,051201100406,17,19,25,45,13,13,26,Grassed Waterway,,
Town of Garfield-Sugar Creek,051201100407,2,2,0.,0.,34,34,66,Grassed Waterway,,
Headwaters Sugar Mill Creek,051201100501,20,24,10,11,12,12,26,Cover Crop,,
Headwaters Black Creek,051201100601,5,5,10,10,20,25,50,Cover Crop,,
Liberty Chapel-Black Creek,051201100602,26,26,82,82,25,26,52,Grassed Waterway,,
Mill Creek-Sugar Creek,051201100604,37,40,32,38,96,11,22,Cover Crop,,
Owl Creek-White River,051202010101,10,10,69,69,77,10,20,Cover Crop,,
Peach Creek-White River,051202010102,5,5,3.,3.,11,13,25,Grassed Waterway,,
Eightmile Creek-White River,051202010103,5,7,5.,9.,32,35,70,Grassed Waterway,,
Cabin Creek,051202010104,1,2,9.,14,19,25,50,Tree/Shrub Establishment,,
Sparrow Creek-White River,051202010105,0,3,0,54,11,13,27,N/a,,
Little White River,051202010106,5,17,23,16,51,61,12,Grassed Waterway,,
Little Stoney Creek-Stoney Creek,051202010107,0,6,0,5.,27,27,55,N/a,,
Prairie Creek Reservoir-Prairie Creek,051202010108,0,0,0,0,0,0,0,N/a,,
Mud Creek-White River,051202010109,0,0,0,0,0,0,0,N/a,,
Truitt Ditch-White River,051202010110,0,0,0,0,0,0,0,N/a,,
Hamilton Ditch-Muncie Creek,051202010111,0,0,0,0,0,0,0,N/a,,
Little Buck Creek-Buck Creek,051202010201,1,1,63,63,96,12,24,Cover Crop,,
Bethel Brook-Bell Creek,051202010202,1,1,47,47,75,93,18,Cover Crop,,
No Name Creek-Bell Creek,051202010203,7,7,29,29,42,55,11,Cover Crop,,
Macedonia Creek-Buck Creek,051202010204,1,2,0.,0.,9.,8.,16,Heavy Use Area Protection,,
Mud Creek-Killbuck Creek,051202010301,0,0,0,0,0,0,0,N/a,,
Jakes Creek,051202010302,1,1,56,56,68,92,18,Cover Crop,,
Thruston Ditch-Killbuck Creek,051202010303,2,2,13,13,15,21,43,Cover Crop,,
Little Killbuck Creek,051202010304,18,21,20,20,41,51,10,Cover Crop,,
York Prairie Creek-White River,051202010305,1,4,4.,4.,21,21,42,Prescribed Grazing,,
Shoemaker Ditch-White River,051202010306,0,0,0,0,0,0,0,N/a,,
Moon Branch-Killbuck Creek,051202010307,2,2,20,20,38,47,95,Cover Crop,,
Turkey Creek-White River,051202010308,1,1,76,76,11,14,29,Cover Crop,,
Elm Run-Indian Creek,051202010309,3,4,37,37,54,70,14,Cover Crop,,
Town of Perkinsville-White River,051202010310,0,0,0,0,0,0,0,N/a,,
Yeager Finley Menard Ditch-Pipe Creek,051202010401,0,0,0,0,0,0,0,N/a,,
Stem Run-Pipe Creek,051202010402,0,0,0,0,0,0,0,N/a,,
Star Creek-Mud Creek,051202010403,1,1,36,36,60,77,15,Cover Crop,,
Polecat Creek-Pipe Creek,051202010404,0,0,0,0,0,0,0,N/a,,
Lilly Creek-Pipe Creek,051202010405,9,9,18,18,32,41,83,Cover Crop,,
Swanfelt Ditch-Pipe Creek,051202010406,2,2,11,11,17,22,45,Cover Crop,,
Shell Cemetary-Pipe Creek,051202010407,3,3,22,22,32,43,85,Cover Crop,,
Todd Ditch-Duck Creek,051202010501,0,0,0,0,0,0,0,N/a,,
Little Duck Creek-Big Duck Creek,051202010502,0,0,0,0,0,0,0,N/a,,
Polywog Creek-Duck Creek,051202010503,4,4,13,13,21,28,56,Cover Crop,,
Bear Creek,051202010504,1,1,2.,2.,4.,5.,10,Tree/Shrub Establishment,,
Lamberson Ditch-Duck Creek,051202010505,0,1,0,1.,1.,1.,3.,N/a,,
Prairie Creek,051202010601,0,0,0,0,0,0,0,N/a,,
Cox Ditch,051202010602,2,3,69,70,19,26,52,Cover Crop,,
Dixon Creek-Cicero Creek,051202010603,1,2,1.,3.,35,66,12,Conservation Cover,,
Buck Creek-Cicero Creek,051202010604,4,4,25,25,38,51,10,Cover Crop,,
Tobin Ditch-Cicero Creek,051202010605,6,6,15,15,23,31,62,Early Successional Habitat Development/Management,,
Weasel Creek-Cicero Creek,051202010606,0,0,0,0,0,0,0,N/a,,
Teter Branch-Little Cicero Creek,051202010607,2,2,47,47,62,82,16,Cover Crop,,
Little Cicero Creek,051202010608,0,0,0,0,0,0,0,N/a,,
Hinkle Creek,051202010609,14,15,29,29,39,51,10,Cover Crop,,
Morse Reservoir-Cicero Creek,051202010610,16,16,31,31,51,64,12,Cover Crop,,
Dyers Creek-White River,051202010701,1,2,66,66,85,11,22,Cover Crop,,
Headwaters Stony Creek,051202010702,2,2,13,13,20,26,52,Cover Crop,,
William Lock Dtich-Stony Creek,051202010703,2,2,15,15,17,23,47,Cover Crop,,
William Lehr Ditch-Stony Creek,051202010704,5,5,51,51,13,15,30,"Residue and Tillage Management, No-Till",,
Mallory Granger Ditch-White River,051202010705,4,4,64,64,90,11,23,Cover Crop,,
Honey Creek-Fall Creek,051202010801,0,0,0,0,0,0,0,N/a,,
Sly Fork,051202010802,0,0,0,0,0,0,0,N/a,,
Prairie Creek-Fall Creek,051202010804,3,3,25,25,44,56,11,Cover Crop,,
Foster Branch,051202010806,8,8,18,18,31,39,79,Cover Crop,,
Headwaters Mud Creek,051202010901,1,1,68,68,10,13,27,Cover Crop,,
Cool Creek,051202011001,1,2,0,1.,2.,4.,13,Cistern,,
Dixon Branch-Eagle Creek,051202011101,0,0,0,0,0,0,0,N/a,,
Mounts Run,051202011102,1,1,1.,1.,12,12,24,Windbreak/Shelterbelt Establishment,,
Finley Creek-Eagle Creek,051202011103,0,0,0,0,0,0,0,N/a,,
Lion Creek-Little Eagle Branch,051202011104,5,5,32,32,14,15,31,"Residue and Tillage Management, No-Till",,
Fleugel Ditch-Dausman Ditch,071200010306,14,14,19,19,38,40,80,Cover Crop,,
Dausman Ditch,071200010308,1,1,36,36,71,76,15,"Residue and Tillage Management, No-Till",,
Stone Ditch-Yellow River,071200010310,2,2,0.,0.,7.,6.,11,Access Road,,
Town of Argos-Wolf Creek,071200010501,19,19,90,90,97,11,23,Cover Crop,,
Dixon Lake-Yellow River,071200010502,6,6,51,51,50,61,12,Cover Crop,,
Clifton Ditch-Yellow River,071200010503,0,0,0,0,0,0,0,N/a,,
Eagle Creek,071200010504,0,0,0,0,0,0,0,N/a,,
Bickle Ditch-Yellow River,071200010505,0,4,0,11,48,77,15,N/a,,
Cavanaugh Ditch-Yellow River,071200010506,0,0,0,0,0,0,0,N/a,,
Hook Run-Bogus Run,071200010601,0,4,0,18,10,16,32,N/a,,
Cedar Lake Ditch-Craigmile Ditch,071200010602,0,0,0,0,0,0,0,N/a,,
Craigmile Ditch-Kline Arm,071200010603,0,0,0,0,0,0,0,N/a,,
Pine Creek-Bogus Run,071200010604,0,3,0,55,23,35,71,N/a,,
Laramore Ditch-Kankakee River,071200010705,0,0,0,0,0,0,0,N/a,,
Hanna Arm Tuesburg Ditch,071200010802,1,1,1.,1.,2.,3.,6.,Conservation Cover,,
Bessler Ditch-Pitner Ditch,071200010805,5,5,33,33,43,50,10,Conservation Cover,,
Origer Ditch-Kankakee River,071200010806,0,0,0,0,0,0,0,N/a,,
Rassmussen Ditch-Kankakee River,071200010807,0,8,0,26,14,22,44,N/a,,
Cook Ditch,071200010808,6,6,12,12,16,18,38,Cover Crop,,
Davis Ditch-Kankakee River,071200010809,2,2,14,14,76,10,20,"Residue and Tillage Management, No-Till",,
Headwaters Wolf Creek,071200010901,0,0,0,0,0,0,0,N/a,,
Hickam Lateral-Wolf Creek,071200010902,0,0,0,0,0,0,0,N/a,,
Delehanty Ditch-Hodge Ditch,071200010903,3,3,11,11,67,88,17,"Residue and Tillage Management, No-Till",,
Cook Ditch-Hodge Ditch,071200010904,1,1,42,42,24,32,65,"Residue and Tillage Management, No-Till",,
Reeves Ditch,071200011005,4,4,21,21,37,47,95,Cover Crop,,
Hannon Ditch-Crooked Creek,071200011006,3,3,15,15,32,41,82,"Residue and Tillage Management, No-Till",,
Ahlgrim Ditch,071200011008,8,8,36,36,64,82,16,"Residue and Tillage Management, No-Till",,
Cornell Ditch-Phillips Ditch,071200011009,25,40,43,44,18,21,42,"Residue and Tillage Management, No-Till",,
Cobb Creek-Kankakee River,071200011010,20,20,67,67,14,17,35,"Residue and Tillage Management, No-Till",,
Dehaan Ditch,071200011101,1,1,16,16,44,67,13,Cover Crop,,
Wentworth Ditch-Knight Ditch,071200011102,1,1,15,15,31,50,10,Cover Crop,,
Brown Levee Ditch-Kankakee River,071200011103,0,1,0,18,28,39,79,N/a,,
Gregory Ditch-Mud Lake Ditch,071200011201,4,4,88,88,20,31,64,Cover Crop,,
Mud Lake Ditch-Beaver Lake Ditch,071200011202,0,0,0,0,0,0,0,N/a,,
Lawler Ditch-Beaver Lake Ditch,071200011203,3,8,14,77,40,63,12,Cover Crop,,
Williams Ditch,071200011204,1,1,25,25,21,30,61,Cover Crop,,
Beaver Lake Ditch-Kankakee River,071200011205,0,0,0,0,0,0,0,N/a,,
Fisher Pond- Stony Run,071200011302,4,7,62,63,80,10,20,Prescribed Grazing,,
Spring Run,071200011303,0,0,0,0,0,0,0,N/a,,
Greisel Ditch,071200011304,0,0,0,0,0,0,0,N/a,,
Bryant Ditch-Singleton Ditch,071200011305,7,8,20,21,35,46,93,"Residue and Tillage Management, No-Till",,
Cedar Creek,071200011306,0,0,0,0,0,0,0,N/a,,
Brown Ditch,071200011307,3,3,2.,2.,4.,5.,11,Conservation Cover,,
Klaasville-West Creek,071200011309,1,1,22,22,19,28,56,Cover Crop,,
West Creek,071200011310,3,5,40,42,65,82,16,Cover Crop,,
Bruce Ditch-Singleton Ditch,071200011311,3,3,16,16,16,23,46,Cover Crop,,
Bull Creek-Singleton Ditch,071200011312,0,0,0,0,0,0,0,N/a,,
Singleton Ditch,071200011313,0,0,0,0,0,0,0,N/a,,
Mirror Lake-Kankakee River,071200011403,0,0,0,0,0,0,0,N/a,,
Ringneck Lake-Oliver Ditch,071200020101,2,2,22,22,66,99,20,Cover Crop,,
Lateral No 77 Ditch-Oliver Ditch,071200020102,2,2,80,80,18,28,58,Conservation Cover,,
Jungles Ditch-Oliver Ditch,071200020103,20,20,83,83,20,31,64,Conservation Cover,,
Keefe Ditch,071200020201,1,1,38,38,12,18,37,Cover Crop,,
Jordan Ditch-Slough Creek,071200020202,1,1,45,45,14,21,43,Cover Crop,,
Nessius Ditch-Bice Ditch,071200020203,3,3,12,12,6.,9.,19,Conservation Cover,,
Headwaters Carpenter Creek,071200020204,2,2,23,23,28,38,76,Cover Crop,,
Carpenter Creek,071200020205,3,3,84,84,21,33,67,Cover Crop,,
Bice Ditch-Slough Creek,071200020206,4,4,37,37,10,16,32,Cover Crop,,
Headwaters Iroquois River,071200020301,1,1,29,29,58,94,19,Cover Crop,,
Iliff Slough Lateral-Ryan Ditch,071200020302,3,3,64,64,16,25,50,Cover Crop,,
Dexter Ditch-Iroquois River,071200020303,0,0,0,0,0,0,0,N/a,,
Ryan Ditch,071200020304,1,1,40,40,13,19,39,Cover Crop,,
Moore Ditch-Iroquois River,071200020305,2,2,40,40,13,32,66,Cover Crop,,
Headwaters Curtis Creek,071200020401,1,6,18,22,72,10,21,Cover Crop,,
Turner Ditch-Iroquois River,071200020402,3,3,1.,1.,0.,1.,2.,Cover Crop,,
Hunter Ditch,071200020403,10,10,17,17,58,83,16,Cover Crop,,
Bower Ditch-Darroch Ditch,071200020404,0,0,0,0,0,0,0,N/a,,
Hickory Branch-Iroquois River,071200020405,14,14,20,20,92,12,25,Cover Crop,,
Clark Ditch-Thompson Ditch,071200020501,1,1,40,40,17,24,49,Cover Crop,,
Whaley Ditch,071200020502,0,1,0,25,17,26,52,N/a,,
Strole Ditch-Iroquois River,071200020503,1,1,40,40,17,24,49,Cover Crop,,
Headwaters Montgomery Ditch,071200020504,11,11,14,14,14,20,41,Cover Crop,,
Kent Ditch-Montgomery Ditch,071200020505,1,1,15,15,15,22,44,Cover Crop,,
Montomery Ditch,071200020506,2,2,10,10,43,59,12,Cover Crop,,
North Sheldon South Concord Ditch-Iroquois River,071200020507,0,0,0,0,0,0,0,N/a,,
Blackstone Branch-Iroquois River,071200020508,0,0,0,0,0,0,0,N/a,,
Upper Sugar Creek-Sugar Creek,071200020701,1,1,59,59,69,94,18,Cover Crop,,
Coon Creek-Mud Creek,071200020702,5,5,16,16,17,23,47,Cover Crop,,
Kult Ditch-Mud Creek,071200020703,0,0,0,0,0,0,0,N/a,,
Cole Creek-Mud Creek,071200020704,0,0,0,0,0,0,0,N/a,,
Yeagers Curve-Sugar Creek,071200020705,19,19,13,13,17,23,46,Cover Crop,,
Town of Stockland,071200020706,0,0,0,0,0,0,0,N/a,,
Possum Trot Ditch,071200020709,0,0,0,0,0,0,0,N/a,,
Coon Creek,071200020710,1,1,15,15,15,22,44,Cover Crop,,
Hanger Ditch-Beaver Creek,071200021301,1,1,40,40,17,24,49,Cover Crop,,
Deardruff Ditch-Beaver Creek,071200021302,0,0,0,0,0,0,0,N/a,,
Carlson Ditch-Beaver Creek,071200021303,2,2,15,15,63,88,17,Cover Crop,,
Hooper Branch,071200021304,0,0,0,0,0,0,0,N/a,,
North Hooper-Beaver Creek,071200021305,0,0,0,0,0,0,0,N/a,,
Headwaters Little Beaver Creek,071200021306,0,0,0,0,0,0,0,N/a,,
