HUC Name,HUC Code,Installed BMPs,Active BMPs,Installed Acres,Active Acres,Sediment Reduction (tons/yr),Phosphorus Reduction (lbs./yr),Nitrogen Reduction (lbs./yr),Most Frequent BMP,x,y
Bowen Ditch-Wabash River,051201050602,20,34,612.13,649.81953168,1064.19603287,1743.67767207,6351.37234908,Cover Crop,,
Harrison Creek-Wabash River,051201050603,15,19,249.24,251.24,356.971033726,468.067478301,933.321231842,"Residue and Tillage Management, No Till",,
Cedar Lake Branch-Elder Ditch,051201060101,30,41,676.3,684.083448118,5156.2795504,5928.11889267,11803.7185132,Cover Crop,,
Ridinger Lake-Grassy Creek,051201060102,4,18,311.6,429.19,993.280136622,1261.35953068,2500.60724399,Early Successional Habitat Development-Mgt,,
Smalley Lake-Tippecanoe River,051201060103,30,82,666.58,770.169393939,2515.85027716,2899.43532979,5797.37618052,Cover Crop,,
Big Barbee Lake-Grassy Creek,051201060104,0,7,0,43.7022727273,109.434431914,120.340413258,241.812267043,N/a,,
Tippecanoe Lake-Tippecanoe River,051201060105,5,34,144.8,151.912006428,1560.84403915,1427.76191025,2858.48082335,Cover Crop,,
McCarter Ditch-Deeds Creek,051201060201,20,44,89.04,309.501689624,622.312010651,719.607785603,1438.91393314,Early Successional Habitat Development-Mgt,,
Pike Lake-Deeds Creek,051201060202,5,13,132.81,234.568911846,886.0046529,968.829901056,1932.4513766,Cover Crop,,
Winola Lake-Eagle Creek,051201060203,9,46,83.18,253.706609275,491.722023798,566.723706239,1138.99737887,Cover Crop,,
Eagle Creek-Walnut Creek,051201060204,36,52,429.85,622.64087236,1337.59174955,1417.96942631,2844.04817981,Early Successional Habitat Development-Mgt,,
Ruple Ditch-Tippecanoe River,051201060205,6,8,107.9,156.6,236.442092913,262.145585177,525.80000646,Cover Crop,,
Adams Ditch-Trimble Creek,051201060301,11,14,296.8,368.29,728.068216793,780.502877974,1564.86312398,"Residue and Tillage Management, No Till",,
Pole Run Ditch-Tippecanoe River,051201060302,2,4,143.6,168.66,213.4008833,245.7408466,492.5252628,CREP CP 21 Filter Strips,,
Palestine Lake-Trimble Creek,051201060303,0,1,0,1.21,3,3,7,N/a,,
Ridenour Ditch-Danner Ditch,051201060304,3,7,53.22,67.98,100.6,123.1,245.6,CREP CP 23A Wetland Restoration - Non-floodplain,,
Danner Ditch-Tippecanoe River,051201060305,5,25,293.6,553.71,729.89150189,962.47594089,1920.21644592,Cover Crop,,
Shatto Ditch-Tippecanoe River,051201060401,1,18,8.42,91.7679886143,400.027457892,417.960628609,836.011696423,CREP CP 23A Wetland Restoration - Non-floodplain,,
Outlet Creek,051201060402,0,5,0,62.87,77.1943631664,102.285147586,205.586551715,N/a,,
Rickle Ditch-Yellow Creek,051201060403,5,12,546.4,616.093213958,968.550969158,1081.37571901,2169.46952485,Cover Crop,,
Little Yellow Creek-Yellow Creek,051201060404,4,7,16.7,77.53,118.723526257,169.812271881,340.63616295,CREP CP 21 Filter Strips,,
Clarence Baker Ditch-Tippecanoe River,051201060405,0,14,0,5.3,1567,1567,3139,N/a,,
Redinger Ditch-Tippecanoe River,051201060406,0,4,0,31.52,43,55,111,N/a,,
Lake 16-Chippewanuck Creek,051201060407,14,35,330.65,350.760321396,589.522423409,710.142030998,1420.74230572,CREP CP 23A Wetland Restoration - Non-floodplain,,
Byrant Leininger Ditch-Chippenwanuck Creek,051201060408,11,17,257.1,309.964104683,533.1,603.2,1209.9,Cover Crop,,
Reister Creek-Tippecanoe River,051201060409,5,5,50,50,72.5,78.9,158.5,Cover Crop,,
Robbin Taylor Ditch,051201060501,2,17,112,195.746069789,746.6,835.7,1669.2,Cover Crop,,
Lake Manitou- Mill Creek,051201060502,34,40,681.48,688.31,942.957963888,1050.83116965,2109.80727091,Cover Crop,,
Smith Ditch-Mud Creek,051201060503,2,6,1.9,22.22,45.667709898,52.068679554,103.165319871,Conservation Cover,,
Neff Ditch-Mud Creek,051201060504,9,13,107.08,147.33,214.269706283,260.057116212,521.630572465,Conservation Cover,,
Grube Ditch-Mud Creek,051201060505,3,6,81.2,126.5,174.245969447,199.029309503,400.501855634,Conservation Cover,,
Collins Ditch,051201060506,7,11,15.21,35.65,72.438202029,85.628343344,172.570519402,Conservation Cover,,
Tilden Ditch-Mud Creek,051201060507,9,9,219.45,219.45,278.039536288,317.522738204,636.708035145,Cover Crop,,
Cowan Ditch-Eddy Creek,051201060508,0,6,0,16.77,31,41,77,N/a,,
Zink Lake-Tippecanoe River,051201060509,10,12,161.8,172.27,239.3,270.2,541.4,Cover Crop,,
Lake Maxinkuckee,051201060601,2,5,10.3,22.4229568411,34.580882724,45.986919646,92.01136407,CREP CP 21 Filter Strips,,
House Ditch,051201060602,31,56,422,696.55,546.021221773,919.24691485,1841.00568073,Cover Crop,,
Slonaker Ditch-Tippecanoe River,051201060603,10,22,198.52,287.77,289.643822736,379.526604184,757.042467404,Cover Crop,,
Bartee Ditch-Tippecanoe River,051201060604,56,73,194.32,379.828838384,326.753106685,504.440847825,985.188909234,Early Successional Habitat Development-Mgt,,
Bruce Lake-Bruce Lake Outlet,051201060605,9,22,78.43,135.7143618,387.171026025,585.525372422,1171.04158978,Cover Crop,,
Dilts Anstis Ditch-Tippecanoe River,051201060606,3,11,57.26,79.4814187328,83.4175952638,91.386790104,183.620422194,CREP CP 31 Bottom Timber Establishment on Wetland,,
Quigley Marsh Ditch,051201060607,9,16,51.6,101,50.8279726903,74.0373430786,149.934393101,Upland Wildlife Habitat Management,,
Tyler Weisjahn Ditch-Tippecane Ditch,051201060608,20,22,455.8,457.1,179.359757698,256.255825544,517.455464419,Cover Crop,,
Headwaters Mill Creek,051201060701,1,1,4.6,4.6,9.268873543,10.49911338,21.09936514,Conservation Cover,,
Reed Olmstead Ditch-Mill Creek,051201060702,1,3,1.7,1.93337924702,13.4827805699,12.0109372985,23.9839039315,CREP CP 21 Filter Strips,,
Little Mill Creek,051201060703,3,6,33.85,135.36,132.930074205,177.92789069,358.976105505,CREP CP 21 Filter Strips,,
Wilson Ditch-Mill Creek,051201060704,11,13,188,211.2,194.728231178,236.214119536,472.674896779,Cover Crop,,
Prather Ditch-Mill Creek,051201060705,17,18,821.1,827.5,288.871390789,417.614237435,843.476856837,Cover Crop,,
Walsh Ditch-Grassy Creek,051201060801,13,17,209.09,232.6,321.566847227,367.095994114,736.947362932,Cover Crop,,
Headwaters Indian Creek,051201060802,8,11,347.6,431.3,590.963436955,794.580823414,1587.75509377,Cover Crop,,
Fredericks Ditch-Little Indian Creek,051201060803,19,20,615.6,618.49,787.372849019,1032.90227838,2064.07060233,Cover Crop,,
Little Indian Creek,051201060804,7,11,280.6,339.9,376.948811498,506.096722687,1013.71592994,Cover Crop,,
Town of Thornhope-Indian Creek,051201060805,19,23,137.96,143.789182736,100.145015667,139.294465648,279.824671553,Conservation Cover,,
Agnew Ditch,051201060901,23,29,733,754.56,278.706402309,399.077895001,806.550142352,Cover Crop,,
Mud Creek,051201060902,2,12,135.77,144.779182736,59.2537197677,84.3703229884,171.987802306,CREP CP 23A Wetland Restoration - Non-floodplain,,
Budd Fisher Ditch-Tippecanoe River,051201060903,7,8,201.1,203.8,77.19445206,109.869554518,222.836324787,Cover Crop,,
Stout Ditch-Tippecanoe River,051201060904,6,6,298.8,298.8,99.937075443,145.859270127,294.661418104,Cover Crop,,
Scholtz Ditch,051201061001,29,49,451.5,513.67,261.892066917,372.538932649,753.304647333,Cover Crop,,
Headwaters Big Monon Ditch,051201061002,20,42,263.9,372.64,173.923542369,252.334973605,509.440873408,Upland Wildlife Habitat Management,,
Thompson Ditch-Big Monon Ditch,051201061003,29,39,545.1,573.88,269.406662086,390.983817906,788.187677765,Cover Crop,,
Lincoln Ditch-Big Monon Ditch,051201061004,3,4,108.8,110.38,43.06074167,62.92199614,127.05813582,Cover Crop,,
Antrim Ditch,051201061005,25,30,760.95,813.05,303.994505695,446.246515569,898.012620083,Cover Crop,,
Mosley Ditch,051201061006,11,11,60.1,60.1,91.18790743,110.10265929,222.246175244,CREP CP 21 Filter Strips,,
Stein Ditch-Big Monon Ditch,051201061007,9,9,197.1,197.1,95.861674457,129.625091667,261.438983805,Cover Crop,,
Big Monon Creek-Big Monon Ditch,051201061008,0,5,0,6.42,5,7,14,N/a,,
Kesler Ditch-McKillip Ditch,051201061101,5,11,13.46,14.36,24.3624480677,28.7261303309,58.4350254125,CREP CP 21 Filter Strips,,
Hill Ditch,051201061102,9,10,314,315.3,195.988050237,255.07882393,514.035423671,"Residue and Tillage Management, No Till",,
McKillip Ditch,051201061103,2,2,5,5,5,7,15,CREP CP 21 Filter Strips,,
Brown Ditch-Big Monon Creek,051201061104,15,21,384.8,400.6,269.051677177,344.901408698,693.669912823,"Residue and Tillage Management, No Till",,
Weltzin Ditch-Tippecanoe River,051201061201,9,11,40.2,55.2,194.985727943,309.222395723,626.377400888,Conservation Cover,,
Harp Ditch-Tippecanoe River,051201061202,2,4,108.2,116.43,88.84116581,112.40652329,226.20192213,"Residue and Tillage Management, No Till",,
Hollingsworth Ditch-Hoagland Ditcj,051201061203,5,10,114.4,142.9,310.059170921,440.785265593,883.645239061,CREP CP 21 Filter Strips,,
Winters Ditch-Hoagland Ditch,051201061204,3,4,10.4,14.1,13,20,42,CREP CP 21 Filter Strips,,
Hoagland Bay-Hoagland Ditch,051201061205,4,4,32.6,32.6,25,42,85,CREP CP 21 Filter Strips,,
Keans Creek,051201061206,5,5,67.29,67.29,42.384560915,66.477522857,133.961544119,CREP CP 21 Filter Strips,,
Headwaters Honey Creek,051201061207,3,5,7.8,20.2,16,23,48,CREP CP 21 Filter Strips,,
Lake Shafer-Tippecanoe River,051201061208,11,16,40.7,60.74,51.76912183,81.955045714,162.923088238,CREP CP 21 Filter Strips,,
Pike Creek-Tippecanoe River,051201061301,13,14,573.3,580.2,777.810131467,1006.73820526,2013.12225604,Cover Crop,,
Bell Ditch-Big Creek,051201061302,2,3,8,9.5,22.516222757,24.914459125,49.989395511,Conservation Cover,,
Deiter Ditch-Big Creek,051201061303,0,0,0,0,0,0,0,N/a,,
Lake Freeman-Tippecanoe River,051201061304,0,1,0,0.5,46,46,92,N/a,,
Big Creek,051201061305,0,0,0,0,0,0,0,N/a,,
Spring Creek,051201061306,0,2,0,1.2,46,46,93,N/a,,
Myers Ditch-Moot Creek,051201061307,1,5,3.8,8.9,13.6153791195,18.8099041223,36.6110676907,CREP CP 21 Filter Strips,,
Moots Creek,051201061308,0,8,0,15.3,223.570425662,225.552185213,451.39211347,N/a,,
Benham Cemetary-Tippecanoe River,051201061309,7,8,186.6,189,288.682480102,372.210034394,743.850489473,Cover Crop,,
Headwaters Turkey Creek,051201070101,0,0,0,0,0,0,0,N/a,,
North Creek-Mud Creek,051201070102,21,23,1046.4,1054.4,1479.37915013,1979.62161983,3955.68516428,Cover Crop,,
Round Prairie Ditch-Turkey Creek,051201070103,2,3,39.6,41.1,67.2924404898,86.9251722644,173.715741692,Cover Crop,,
Middle Fork Ditch,051201070104,0,0,0,0,0,0,0,N/a,,
Grassy Fork,051201070105,0,0,0,0,0,0,0,N/a,,
Mud Creek,051201070106,0,0,0,0,0,0,0,N/a,,
Kokomo Waterworks Reservoir No. 2-Wildcat Creek,051201070107,0,1,0,0.1,7.5,7.5,15,N/a,,
Taylor Run-Kokomo Creek,051201070108,8,9,221.8,222.4,327.435683832,432.542222263,864.34544609,Cover Crop,,
Cannon-Goyer Ditch-Wildcat Creek,051201070109,0,0,0,0,0,0,0,N/a,,
Harness Ditch-Middle Fork Wildcat Creek,051201070201,5,7,24.7,29.6,109.34152534,129.869760902,259.596361594,Conservation Cover,,
Robertson Branch-Middle Fork Wildcat Creek,051201070202,1,6,6.2,11.3,204.488830416,207.616352889,415.213998345,Cover Crop,,
Campbells Run,051201070203,4,23,6.22,36.12,1811.55947886,1822.37553888,3644.30450647,Conservation Cover,,
Town of Rossville-Middle Fork Wildcat Creek,051201070204,0,16,0,6.10789715335,471.171594309,571.776275859,1135.58644981,N/a,,
Hog Run-Middle Fork Wildcat Creek,051201070205,0,7,0,10.1951561065,15.7305953563,21.1284262095,42.2159620798,N/a,,
Swamp Creek,051201070301,0,9,0,13.6294733777,221.226164865,228.671788043,457.491470608,N/a,,
Shanty Creek-Kilmore Creek,051201070302,0,0,0,0,0,0,0,N/a,,
Stump Ditch-Kilmore Creek,051201070303,3,8,792.36,804.23768595,1227.15890352,1571.07265648,3139.90800608,Cover Crop,,
Talbert Ditch-South Fork Wildcat Creek,051201070304,14,17,990.67,1059.45436639,1822.49761152,2315.76161708,4668.91129218,Cover Crop,,
Prairie Creek,051201070305,1,11,52,63.5609912511,418.3,467,1048.1,Cover Crop,,
Kilmore Creek,051201070306,3,16,221.7,235.998209366,703.612086298,811.496596249,1619.2390948,Cover Crop,,
Spring Creek,051201070307,0,4,0,0.306887052342,14.6400997271,12.0847925592,24.1988349502,N/a,,
Jenkins Ditch-South Fork Wildcat Creek,051201070308,10,25,545.1,631.1,1431.36997295,1731.12758138,3460.54401725,Cover Crop,,
Lauramie Creek,051201070309,3,3,50,50,92.21170855,114.58406946,229.02246838,Cover Crop,,
Town of MUlberry-South Fork Wildcat Creek,051201070310,1,3,0.1,0.253719008265,0.252586706,3.196673937,35.293087567,Upland Wildlife Habitat Management,,
Town of Dayton-South Fork Wildcat Creek,051201070311,1,8,3.3,11.0807162534,53.584063675,60.10238033,118.19448338,Upland Wildlife Habitat Management,,
West Fork-Little Wildcat Creek,051201070401,0,0,0,0,0,0,0,N/a,,
Little Wildcat Creek,051201070402,1,2,62.5,84.5,118.989142205,163.281644867,326.237964139,Cover Crop,,
Kitty Run-Wildcat Creek,051201070403,11,15,180.5,232.1,1019.11107473,1136.33225475,2272.05099669,Cover Crop,,
Honey Creek,051201070404,39,51,1113,1129.23213958,2444.2659456,2980.05155466,5955.4002824,Cover Crop,,
Dearinger Ditch-Wildcat Creek,051201070405,0,9,0,11.3,463.3,565.3,1129.7,N/a,,
Petes Run-Wildcat Creek,051201070406,6,11,179.4,180.057116621,281.159658448,359.055664743,716.554422056,Cover Crop,,
Hurricane Creek-Hurricane Creek,051201070407,9,27,29.9,51.9744719927,703.659277059,924.361446789,2002.73830235,Forage and Biomass Planting,,
Town of Owasco-Wildcat Creek,051201070408,6,33,30.3,251.840633609,515.334710428,650.915849759,1299.83481606,Fence,,
Dry Run-Wildcat Creek,051201070409,23,29,432.5,440.4,755.575446418,950.54415571,1899.82584319,"Residue and Tillage Management, No Till",,
Romney Fraley Ditch,051201080101,10,28,136.18,178.983507805,1005.59011525,1169.03552123,2336.47603846,Conservation Cover,,
East Branch Wea Creek,051201080102,0,15,0,76.36,539.247708757,722.856096704,1443.55525992,N/a,,
Haywood Ditch-Wea Creek,051201080103,0,9,0,29.7,727.611653314,757.981931397,1518.02817668,N/a,,
Elliot Ditch,051201080104,1,17,0.01,86.5740260505,409.359177227,299.846230033,1446.30027397,Urban: Rain Garden,,
Little Wea Creek,051201080105,15,57,484.7,695.079127478,2847.72213556,3337.57580542,6933.82983371,Cover Crop,,
Kenny Ditch-Wea Creek,051201080106,1,7,5,16.4091827365,209.260798391,223.268078942,446.468630779,Pollinator Habitat,,
North Fork Burnett Creek,051201080201,10,25,520.63,691.398783557,1825.10939064,2467.49610504,4816.28110633,Cover Crop,,
Headwaters Burnett Creek,051201080202,5,18,77.9,98.199068776,738.472990507,818.204871698,1637.16674662,Cover Crop,,
Cedar Hollow-Wabash River,051201080203,2,26,20.25,50.3710284665,46.770866486,281.261681567,325.677417342,Tree/Shrub Establishment,,
Headwaters Mud Pine Creek,051201080301,16,18,827.86,828.980661157,909.429489623,1260.30436144,2518.03033387,Cover Crop,,
Seamons Ditch-Mud Pine Creek,051201080302,23,30,708.72,743.837217631,1081.19200836,1399.43607347,2795.42793583,Cover Crop,,
Goose Creek-Mud Pine Creek,051201080303,18,36,1131,1190.34591368,1636.31172539,2135.07223147,4266.34907469,Cover Crop,,
Spring Branch-Mud Pine Creek,051201080304,27,47,1105.9,1218.16129477,2940.0423423,3805.51031857,7537.78764729,Cover Crop,,
Roudebush Ditch-Big Pine Creek,051201080401,2,2,20,20,74,127,247,CREP CP 21 Filter Strips,,
Big Pine Creek Ditch-Big Pine Creek,051201080402,13,25,637.2,647.862672176,1280.6784839,1557.02342736,3114.03825361,Cover Crop,,
Little Pine Creek,051201080403,5,16,342.27,382.347134986,557.535201191,701.489027781,1398.79716598,Cover Crop,,
Owens Ditch-Big Pine Creek,051201080404,27,43,1158.55,1194.17419651,1652.30559278,2167.81366944,4335.01754305,Cover Crop,,
Brumm Ditch-Big Pine Creek,051201080405,8,22,199.62,228.240982553,847.342225172,1019.95661419,1981.1559696,Grassed Waterway,,
Darby Ditch-Big Pine Creek,051201080406,7,12,336.14,339.94,412.618405516,558.610840004,1114.24918159,Cover Crop,,
Brown Ditch,051201080407,10,21,174.85,196.830348944,437.281377552,549.260746767,1097.87272382,Cover Crop,,
Harrington Creek-Big Pine Creek,051201080408,0,4,0,6.9,93,123,248,N/a,,
Pine Village-Big Pine Creek,051201080409,13,23,187.63,216.754104683,436.379816299,526.807278496,1053.67581085,Cover Crop,,
Hog Back Hill-Big Pine Creek,051201080410,18,39,110.11,442.01,1097.9533024,1378.99081665,2756.02478923,Early Successional Habitat Development-Mgt,,
Indian Creek,051201080501,4,22,18.2,198.4,627.459456076,846.959843061,1687.19609635,Early Successional Habitat Development-Mgt,,
Jordan Creek-Wabash River,051201080502,4,32,93.01,784.77,1599.88883976,2603.24659864,5088.89665109,CREP CP 23 Wetland Restoration within the 100-year floodplain,,
Lost Creek-Wabash River,051201080503,8,24,304.2,439.928034894,1018.50176048,1424.31356127,2813.68212659,Cover Crop,,
Flint Run-Flint Creek,051201080504,10,27,349.8,363.626170799,1825.70996504,1992.94023138,3981.80033715,Cover Crop,,
Otterbein Ditch-Little Pine Creek,051201080505,1,17,3.7,106.68,643.550381809,797.106165714,1573.10401951,CREP CP 21 Filter Strips,,
Armstrong Creek-Little Pine Creek,051201080506,6,19,135.7,233.727447199,655.909185366,769.392755872,1535.00316056,Conservation Cover,,
Flint Creek-Wabash River,051201080507,0,2,0,5.02,41.6426696077,60.9433567839,120.884959243,N/a,,
Headwaters Kickapoo Creek,051201080508,13,13,366,366,696.374603073,850.768842926,1700.55741605,Cover Crop,,
West Fork Kickapoo Creek,051201080509,1,3,0.9,23.2,90.155646387,106.343309539,210.578782305,Grassed Waterway,,
Turkey Run-Wabash River,051201080510,6,25,59.6,235.42,783.833708425,904.169266857,1807.87607138,Grassed Waterway,,
Headwaters Big Shawnee Creek,051201080601,9,51,113.9,184.298025712,2865.11391584,2930.14396023,5851.53795435,Cover Crop,,
Little Shawnee Creek-Big Shawnee Creek,051201080602,9,34,19,44.4068870523,1303.43529095,1315.70511898,2628.23783395,Grassed Waterway,,
Fall Branch-Wabash River,051201080603,4,11,133.9,161.058494031,462.889988094,536.273613639,1070.07098296,Cover Crop,,
Rock Creek-Wabash River,051201080604,13,19,208.9,215,471.062455131,579.896730729,1159.07964148,Cover Crop,,
Redwood Creek,051201080605,18,33,107.6,130.765128558,873.849411328,929.537911701,1852.80168193,Cover Crop,,
Opossum Run,051201080606,10,20,105.9,111.924242424,340.028123807,381.273208976,760.297091312,Cover Crop,,
Racoon Creek-Wabash River,051201080607,13,22,304.7,444.1,1486.51041675,1657.77950161,3309.63576726,Cover Crop,,
Mallory Branch-Wabash River,051201080608,3,46,31.8,316.276069789,1892.78477646,2086.53174592,4167.14117645,Cover Crop,,
Joseph Ludlow Ditch-Joseph Ludlow Ditch,051201080701,16,24,401.76,412.66,1680.7952692,1846.43270719,3704.36923188,Grassed Waterway,,
Turkey Run,051201080702,0,17,0,15.6220385675,557.48608435,560.68293003,1116.44342461,N/a,,
Charles Ludloe Ditch-North Fork Coal Creek,051201080703,4,22,132.6,148.731336088,1031.75208552,1116.83735459,2220.3084953,Cover Crop,,
Harrison Lake-Coal Creek,051201080704,1,49,5.3,58.9656565657,4118.6947424,4136.39769991,8319.8272093,CREP CP 22 Riparian Buffer,,
Headwaters East Fork Coal Creek,051201080705,4,26,7.84,26.2480348944,733.01910108,755.709302059,1508.59996639,CREP CP 21 Filter Strips,,
Town of Hillsboro-East Fork Coal Creek,051201080706,0,15,0,5.9222681359,264.441518085,260.565884053,517.162175749,N/a,,
Rose Cemetary-East Fork Coal Creek,051201080707,4,61,3.9,36.5515381084,2025.19258294,2016.42632373,3920.24551659,Grassed Waterway,,
Dry Run-Coal Creek,051201080708,7,79,6.7,202.02,3632.21769913,3722.57871025,7439.48553632,Grassed Waterway,,
Spring Creek,051201080801,1,5,19.2,36.8,91.4203326765,117.415080909,235.644931066,Early Successional Habitat Development-Mgt,,
Jordan Creek,051201080802,7,15,86.6,97.8339302112,416.959713004,542.39800381,1072.07125069,Cover Crop,,
Collette Pond-Wabash River,051201080803,1,13,37.62,55.02,460.183124807,678.190246716,950.33011426,CREP CP 31 Bottom Timber Establishment on Wetland,,
Graham Creek,051201080901,1,62,1.3,66.4061983471,2653.04752735,2667.19697207,5418.63808182,Grassed Waterway,,
Prairie Creek,051201080902,7,36,14.1,61.6,2172.07353275,2245.10629883,4485.07405364,Grassed Waterway,,
Cooper Chapel-Coal Creek,051201080903,13,63,348.94,433.12,4005.65364876,3328.00975302,6669.49505679,Cover Crop,,
Upper Jordan Creek,051201090701,2,3,40.8,40.8241046832,80.66146096,98.230043144,196.548205711,Cover Crop,,
Little Creek,051201090702,0,0,0,0,0,0,0,N/a,,
Whipporwill Branch-Middle Branch,051201090703,3,6,254.2,257.316069789,762.79296088,871.21447763,1742.718174,Cover Crop,,
Middle Jordan Creek,051201090704,0,0,0,0,0,0,0,N/a,,
Lower Jordan Creek,051201090705,0,0,0,0,0,0,0,N/a,,
Leuch Ditch,051201090801,18,20,168.63,174.595748393,283.268484948,361.806351072,721.968056964,Conservation Cover,,
Prairie Green-North Fork Vermilion River,051201090802,0,0,0,0,0,0,0,N/a,,
Hoffman Cemetery-Stony Creek,051201090902,0,0,0,0,0,0,0,N/a,,
Lick Creek,051201090903,0,0,0,0,0,0,0,N/a,,
Coal Branch,051201090905,5,14,134.5,154.6,403.872396828,470.082330603,979.049662534,Cover Crop,,
Mallott Ditch-Sugar Creek,051201100101,2,2,204.7,204.7,324.20170342,415.3078251,830.0002819,Cover Crop,,
Scott Wincoup Ditch-Sugar Creek,051201100102,12,20,1261.5,1302.3,2673.35316804,3249.82476752,6495.80500671,Cover Crop,,
Mud Creek,051201100103,6,9,23.04,38.0039348026,228.337986684,235.510291369,470.960526528,Cover Crop,,
Rose Ditch-Brown Wonder Creek,051201100104,0,2,0,0.9,180.1,180.6,361,N/a,,
Barnes Ditch-Sugar Creek,051201100105,2,10,20.4,27.3976124885,463.1,480.7,954.5,Forage and Biomass Planting,,
Reagan Run,051201100106,0,5,0,6.5120523416,948.061868767,948.848905732,1897.79256419,N/a,,
Spring Creek-Sugar Creek,051201100107,2,5,124.8,129.4,576.5327384,625.87333661,1251.9113613,Cover Crop,,
Brush Creek-Sugar Creek,051201100108,0,6,0,44.2,70.6944308559,90.7791364166,180.491258256,N/a,,
Headwaters Little Potatoe Creek,051201100201,3,6,36.1,41.4,190.50587118,208.50149232,416.89168489,Cover Crop,,
Bowers Creek,051201100202,0,9,0,27.0160697888,517,598,1166,N/a,,
Lye Creek Drain,051201100203,0,4,0,1.7,141.6,141,284,N/a,,
Little Potatoe Creek-Lye Creek,051201100204,16,27,608.8,612.497337006,1028.32149742,1282.5605884,2565.45303521,Cover Crop,,
Little Creek-Little Sugar Creek,051201100301,1,4,77.7,81.5154958678,399.6472734,440.3683248,881.5189025,Cover Crop,,
Little Sugar Creek,051201100302,18,44,184.3,212.1,1719.82601705,1793.96545391,3584.45403045,Grassed Waterway,,
Town of Linnsburg-Walnut Fork Sugar Creek,051201100303,19,44,466.4,496.916069789,2023.40349091,2232.8373353,4467.27379773,Cover Crop,,
Sanitary Ditch-Prairie Creek,051201100401,0,0,0,0,0,0,0,N/a,,
Deer Creek-Prairie Creek,051201100402,4,13,149.6,164.7,328.558718895,472.18775245,934.932524169,Cover Crop,,
Wolf Creek,051201100403,8,21,80.7,113.844421488,2207.02528585,2216.66458692,4433.64939303,Upland Wildlife Habitat Management,,
Goldsberry Creek-Sugar Creek,051201100404,12,19,453.1,471.420339761,1206.84965656,1381.96914989,2763.35765443,Cover Crop,,
Withe Creek-Sugar Creek,051201100405,6,18,50.6,60.0484389348,416.093350562,452.973456484,905.683505308,Forage and Biomass Planting,,
Hazel Creek-Sugar Creek,051201100406,19,38,390.2,428.2,2580.74508682,2769.81736496,5534.47528044,Grassed Waterway,,
Town of Garfield-Sugar Creek,051201100407,9,17,241.5,243.750964187,432.088278848,531.075450101,1060.48512832,Cover Crop,,
Headwaters Sugar Mill Creek,051201100501,6,70,82.3,141.7,4056.1566622,4091.47981539,8095.02141953,Grassed Waterway,,
Headwaters Black Creek,051201100601,5,9,37.3,38.9,140.971992145,157.844832223,313.579102862,Conservation Cover,,
Liberty Chapel-Black Creek,051201100602,11,45,145.8,183.624104683,3409.4548002,3471.29323504,6938.76520849,Conservation Cover,,
Mill Creek-Sugar Creek,051201100604,45,73,971.75,1044.85,2085.66899736,2520.2195029,5030.65861883,Cover Crop,,
Owl Creek-White River,051202010101,10,11,374.3,376.3,478.968603213,630.97646183,1260.8972109,Cover Crop,,
Peach Creek-White River,051202010102,1,7,56.5,62.1241046832,188.54568621,231.174834218,460.17766175,Cover Crop,,
Eightmile Creek-White River,051202010103,7,17,376.54,390.961808999,1310.42468726,1491.83501526,2981.60926406,Cover Crop,,
Cabin Creek,051202010104,10,20,536.8,581,1018.49879456,1417.95467202,2779.2909954,Cover Crop,,
Sparrow Creek-White River,051202010105,9,11,173.3,188.7,287.258205686,360.842478689,721.184625321,Cover Crop,,
Little White River,051202010106,15,36,391,481.948209366,1091.02792614,1323.76242723,2641.96885754,Cover Crop,,
Little Stoney Creek-Stoney Creek,051202010107,12,26,228.95,243.080991736,1158.81682066,1249.08146966,2500.56177859,Cover Crop,,
Prairie Creek Reservoir-Prairie Creek,051202010108,0,1,0,1.1,11.3,11.3,22.7,N/a,,
Mud Creek-White River,051202010109,20,24,550.7,578.79,752.666081096,991.455087943,1982.24743886,Cover Crop,,
Truitt Ditch-White River,051202010110,1,4,6.3,8.13450413223,15.05325048,18.8413423,37.66392927,Cover Crop,,
Hamilton Ditch-Muncie Creek,051202010111,1,2,0.1,1.08,25.098289875,35.933102521,70.867505498,Heavy Use Area Protection,,
Little Buck Creek-Buck Creek,051202010201,6,7,32.5,37.42,53.2852899346,66.6802438753,133.272501149,Tree/Shrub Establishment,,
Bethel Brook-Bell Creek,051202010202,0,1,0,25.8,72,98,195,N/a,,
No Name Creek-Bell Creek,051202010203,8,8,202,202,366.613142167,514.720089063,1028.86161399,Cover Crop,,
Macedonia Creek-Buck Creek,051202010204,24,37,831.32,879.17922865,1325.19408915,1803.89024863,3601.90496032,Cover Crop,,
Mud Creek-Killbuck Creek,051202010301,0,0,0,0,0,0,0,N/a,,
Jakes Creek,051202010302,0,0,0,0,0,0,0,N/a,,
Thruston Ditch-Killbuck Creek,051202010303,0,0,0,0,0,0,0,N/a,,
Little Killbuck Creek,051202010304,0,4,0,4.4,26.6715645347,24.8765085588,49.7702753324,N/a,,
York Prairie Creek-White River,051202010305,0,5,0,30.9382185491,41.8814628084,47.0696052271,94.10919801,N/a,,
Shoemaker Ditch-White River,051202010306,1,1,1.1,1.1,2.577697943,3.35843244,6.711266287,Conservation Cover,,
Moon Branch-Killbuck Creek,051202010307,0,0,0,0,0,0,0,N/a,,
Turkey Creek-White River,051202010308,0,0,0,0,0,0,0,N/a,,
