HUC Code,HUC Name,Inst_BMP,Active_BMP,Inst_Ac,Active_Ac,Sediment,Phosphorus,Nitrogen,Most Frequent BMP,x,y
051201061302,Bell Ditch-Big Creek,0,0,0,0,0,0,0,N/a,,
051201061303,Deiter Ditch-Big Creek,0,0,0,0,0,0,0,N/a,,
051201061304,Lake Freeman-Tippecanoe River,0,0,0,0,0,0,0,N/a,,
051201061305,Big Creek,0,0,0,0,0,0,0,N/a,,
051201061306,Spring Creek,3,3,12,12,38,41,84,Conservation Cover,,
051201061307,Myers Ditch-Moot Creek,0,0,0,0,0,0,0,N/a,,
051201061308,Moots Creek,2,2,8,8,9.,11,22,Tree/Shrub Establishment,,
051201061309,Benham Cemetary-Tippecanoe River,4,4,10,10,11,15,30,Cover Crop,,
051201070101,Headwaters Turkey Creek,0,0,0,0,0,0,0,N/a,,
051201070102,North Creek-Mud Creek,1,1,79,79,99,13,26,"Residue and Tillage Management, No-Till",,
051201070103,Round Prairie Ditch-Turkey Creek,3,3,24,24,33,46,91,Cover Crop,,
051201070104,Middle Fork Ditch,3,3,77,77,75,10,21,Cover Crop,,
051201070105,Grassy Fork,1,1,26,26,37,50,10,Cover Crop,,
051201070106,Mud Creek,6,6,25,25,36,48,97,"Residue and Tillage Management, No-Till",,
051201070107,Kokomo Waterworks Reservoir No. 2-Wildcat Creek,20,20,54,54,79,10,20,Cover Crop,,
051201070108,Taylor Run-Kokomo Creek,14,14,38,38,59,76,15,"Residue and Tillage Management, No-Till",,
051201070109,Cannon-Goyer Ditch-Wildcat Creek,4,4,16,16,22,30,61,Cover Crop,,
051201070201,Harness Ditch-Middle Fork Wildcat Creek,14,14,35,35,68,84,16,Cover Crop,,
051201070202,Robertson Branch-Middle Fork Wildcat Creek,4,4,80,80,17,20,41,Cover Crop,,
051201070203,Campbells Run,49,49,15,15,40,47,94,Cover Crop,,
051201070204,Town of Rossville-Middle Fork Wildcat Creek,18,18,83,83,15,18,37,"Residue and Tillage Management, Reduced Till",,
051201070205,Hog Run-Middle Fork Wildcat Creek,36,36,17,17,28,35,71,Cover Crop,,
051201070301,Swamp Creek,10,10,10,10,33,37,75,Cover Crop,,
051201070302,Shanty Creek-Kilmore Creek,2,2,65,65,12,14,29,Cover Crop,,
051201070303,Stump Ditch-Kilmore Creek,13,13,60,60,10,13,26,Cover Crop,,
051201070304,Talbert Ditch-South Fork Wildcat Creek,3,3,39,39,18,19,39,Conservation Cover,,
051201070305,Prairie Creek,14,14,37,37,90,10,21,Cover Crop,,
051201070306,Kilmore Creek,40,40,87,87,18,22,44,Cover Crop,,
051201070307,Spring Creek,0,0,0,0,0,0,0,N/a,,
051201070308,Jenkins Ditch-South Fork Wildcat Creek,25,25,38,38,10,12,24,Cover Crop,,
051201070309,Lauramie Creek,14,14,46,46,69,94,18,Cover Crop,,
051201070310,Town of MUlberry-South Fork Wildcat Creek,19,19,62,62,11,13,28,Cover Crop,,
051201070311,Town of Dayton-South Fork Wildcat Creek,25,25,83,83,11,15,30,Cover Crop,,
051201070401,West Fork-Little Wildcat Creek,7,7,55,55,75,10,20,Cover Crop,,
051201070402,Little Wildcat Creek,7,7,39,39,53,72,14,Cover Crop,,
051201070403,Kitty Run-Wildcat Creek,3,3,25,25,39,40,80,Cover Crop,,
051201070404,Honey Creek,9,9,13,13,37,44,88,Grassed Waterway,,
051201070405,Dearinger Ditch-Wildcat Creek,9,9,14,14,43,49,99,Grassed Waterway,,
051201070406,Petes Run-Wildcat Creek,7,7,15,15,55,61,12,Access Road,,
051201070407,Hurricane Creek-Hurricane Creek,26,26,25,25,56,70,14,Forage and Biomass Planting,,
051201070408,Town of Owasco-Wildcat Creek,23,23,50,50,10,12,25,"Residue and Tillage Management, Reduced Till",,
051201070409,Dry Run-Wildcat Creek,3,3,65,65,78,10,21,Cover Crop,,
051201080101,Romney Fraley Ditch,4,4,15,15,14,20,40,Cover Crop,,
051201080102,East Branch Wea Creek,28,28,79,79,10,13,27,Cover Crop,,
051201080103,Haywood Ditch-Wea Creek,2,2,4.,4.,27,27,55,Grassed Waterway,,
051201080104,Elliot Ditch,1,1,55,55,47,69,13,Cover Crop,,
051201080105,Little Wea Creek,17,17,49,49,71,10,22,Cover Crop,,
051201080106,Kenny Ditch-Wea Creek,22,22,29,29,53,67,13,Cover Crop,,
051201080201,North Fork Burnett Creek,6,6,7.,7.,56,56,11,Grassed Waterway,,
051201080202,Headwaters Burnett Creek,19,19,38,38,85,10,20,Cover Crop,,
051201080203,Cedar Hollow-Wabash River,9,9,0.,0.,0.,66,23,Urban: Rain Garden,,
051201080301,Headwaters Mud Pine Creek,0,0,0,0,0,0,0,N/a,,
051201080302,Seamons Ditch-Mud Pine Creek,0,0,0,0,0,0,0,N/a,,
051201080303,Goose Creek-Mud Pine Creek,1,1,41,41,77,95,19,Cover Crop,,
051201080304,Spring Branch-Mud Pine Creek,3,3,2.,2.,76,10,21,Conservation Cover,,
051201080401,Roudebush Ditch-Big Pine Creek,2,2,79,79,46,61,12,Cover Crop,,
051201080402,Big Pine Creek Ditch-Big Pine Creek,1,1,40,40,48,66,13,Cover Crop,,
051201080403,Little Pine Creek,0,0,0,0,0,0,0,N/a,,
051201080404,Owens Ditch-Big Pine Creek,0,0,0,0,0,0,0,N/a,,
051201080405,Brumm Ditch-Big Pine Creek,0,0,0,0,0,0,0,N/a,,
051201080406,Darby Ditch-Big Pine Creek,0,0,0,0,0,0,0,N/a,,
051201080407,Brown Ditch,0,0,0,0,0,0,0,N/a,,
051201080408,Harrington Creek-Big Pine Creek,0,0,0,0,0,0,0,N/a,,
051201080409,Pine Village-Big Pine Creek,6,6,37,37,11,12,24,Grassed Waterway,,
051201080410,Hog Back Hill-Big Pine Creek,0,0,0,0,0,0,0,N/a,,
051201080501,Indian Creek,6,6,3.,3.,38,39,80,Conservation Cover,,
051201080502,Jordan Creek-Wabash River,2,2,14,14,24,34,68,Conservation Cover,,
051201080503,Lost Creek-Wabash River,8,8,13,13,34,46,93,Cover Crop,,
051201080504,Flint Run-Flint Creek,14,14,98,98,13,18,35,Cover Crop,,
051201080505,Otterbein Ditch-Little Pine Creek,8,8,34,34,38,41,83,Grassed Waterway,,
051201080506,Armstrong Creek-Little Pine Creek,2,2,0.,0.,11,11,21,Grade Stabilization Structure,,
051201080507,Flint Creek-Wabash River,4,4,15,15,25,34,68,Conservation Cover,,
051201080508,Headwaters Kickapoo Creek,6,6,15,15,49,60,12,Conservation Cover,,
051201080509,West Fork Kickapoo Creek,4,4,42,42,10,13,27,Conservation Cover,,
051201080510,Turkey Run-Wabash River,19,19,36,36,10,12,24,Cover Crop,,
051201080601,Headwaters Big Shawnee Creek,49,49,13,13,50,56,11,Cover Crop,,
051201080602,Little Shawnee Creek-Big Shawnee Creek,11,11,30,30,95,11,21,Cover Crop,,
051201080603,Fall Branch-Wabash River,4,4,24,24,58,69,13,Cover Crop,,
051201080604,Rock Creek-Wabash River,1,1,15,15,48,55,11,Cover Crop,,
051201080605,Redwood Creek,66,66,16,16,34,40,81,Cover Crop,,
051201080606,Opossum Run,3,3,51,51,16,18,36,Cover Crop,,
051201080607,Racoon Creek-Wabash River,19,19,38,38,81,98,19,Cover Crop,,
051201080608,Mallory Branch-Wabash River,8,8,10,10,38,43,87,Cover Crop,,
051201080701,Joseph Ludlow Ditch-Joseph Ludlow Ditch,1,1,1.,1.,11,11,22,Grassed Waterway,,
051201080702,Turkey Run,0,0,0,0,0,0,0,N/a,,
051201080703,Charles Ludloe Ditch-North Fork Coal Creek,17,17,17,17,52,62,12,Grassed Waterway,,
051201080704,Harrison Lake-Coal Creek,18,18,69,69,65,68,13,Grassed Waterway,,
051201080705,Headwaters East Fork Coal Creek,7,7,3.,3.,26,26,53,Grassed Waterway,,
051201080706,Town of Hillsboro-East Fork Coal Creek,4,4,7.,7.,13,14,28,Grassed Waterway,,
051201080707,Rose Cemetary-East Fork Coal Creek,17,17,7.,7.,52,52,10,Grassed Waterway,,
051201080708,Dry Run-Coal Creek,6,6,53,53,79,82,16,Grassed Waterway,,
051201080801,Spring Creek,1,1,9.,9.,21,28,56,Field Border,,
051201080802,Jordan Creek,20,20,41,41,60,75,15,Cover Crop,,
051201080803,Collette Pond-Wabash River,7,7,11,11,28,28,57,Grassed Waterway,,
051201080901,Graham Creek,24,24,11,11,11,12,24,Grassed Waterway,,
051201080902,Prairie Creek,10,10,32,32,98,11,22,Cover Crop,,
051201080903,Cooper Chapel-Coal Creek,8,8,15,15,11,27,56,Grassed Waterway,,
051201090701,Upper Jordan Creek,9,9,40,40,10,11,23,"Residue and Tillage Management, Reduced Till",,
051201090702,Little Creek,0,0,0,0,0,0,0,N/a,,
051201090703,Whipporwill Branch-Middle Branch,0,0,0,0,0,0,0,N/a,,
051201090704,Middle Jordan Creek,0,0,0,0,0,0,0,N/a,,
051201090705,Lower Jordan Creek,0,0,0,0,0,0,0,N/a,,
051201090801,Leuch Ditch,4,4,15,15,42,46,92,"Residue and Tillage Management, Reduced Till",,
051201090802,Prairie Green-North Fork Vermilion River,0,0,0,0,0,0,0,N/a,,
051201090902,Hoffman Cemetery-Stony Creek,1,1,14,14,23,30,60,Cover Crop,,
051201090903,Lick Creek,0,0,0,0,0,0,0,N/a,,
051201090905,Coal Branch,9,9,14,14,28,33,71,Cover Crop,,
051201100101,Mallott Ditch-Sugar Creek,8,8,12,12,38,47,94,Conservation Cover,,
051201100102,Scott Wincoup Ditch-Sugar Creek,11,11,19,19,54,62,12,Grassed Waterway,,
051201100103,Mud Creek,2,2,36,36,37,51,10,Cover Crop,,
051201100104,Rose Ditch-Brown Wonder Creek,17,17,56,56,68,90,18,Cover Crop,,
051201100105,Barnes Ditch-Sugar Creek,10,10,19,19,51,59,11,Cover Crop,,
051201100106,Reagan Run,7,7,46,46,39,41,82,Conservation Cover,,
051201100107,Spring Creek-Sugar Creek,22,22,48,48,87,10,21,Cover Crop,,
051201100108,Brush Creek-Sugar Creek,4,4,17,17,45,52,10,"Residue and Tillage Management, No-Till",,
051201100201,Headwaters Little Potatoe Creek,0,0,0,0,0,0,0,N/a,,
051201100202,Bowers Creek,0,0,0,0,0,0,0,N/a,,
051201100203,Lye Creek Drain,0,0,0,0,0,0,0,N/a,,
051201100204,Little Potatoe Creek-Lye Creek,8,8,11,11,19,24,49,Cover Crop,,
051201100301,Little Creek-Little Sugar Creek,1,1,2.,2.,16,16,32,Grassed Waterway,,
051201100302,Little Sugar Creek,3,3,0.,0.,30,25,51,Watering Facility,,
051201100303,Town of Linnsburg-Walnut Fork Sugar Creek,36,36,61,61,10,12,25,Cover Crop,,
051201100401,Sanitary Ditch-Prairie Creek,8,8,17,17,24,31,63,Cover Crop,,
051201100402,Deer Creek-Prairie Creek,4,4,11,11,20,24,49,Grassed Waterway,,
051201100403,Wolf Creek,0,0,0,0,0,0,0,N/a,,
051201100404,Goldsberry Creek-Sugar Creek,1,1,1.,1.,11,11,22,Grassed Waterway,,
051201100405,Withe Creek-Sugar Creek,2,2,5.,5.,15,19,38,Forage and Biomass Planting,,
051201100406,Hazel Creek-Sugar Creek,2,2,20,20,45,59,11,Conservation Cover,,
051201100407,Town of Garfield-Sugar Creek,0,0,0,0,0,0,0,N/a,,
051201100501,Headwaters Sugar Mill Creek,4,4,2.,2.,86,86,17,Grassed Waterway,,
051201100601,Headwaters Black Creek,2,2,15,15,30,36,73,Cover Crop,,
051201100602,Liberty Chapel-Black Creek,0,0,0,0,0,0,0,N/a,,
051201100604,Mill Creek-Sugar Creek,5,5,77,77,15,20,40,Cover Crop,,
051202010101,Owl Creek-White River,0,0,0,0,0,0,0,N/a,,
051202010102,Peach Creek-White River,0,0,0,0,0,0,0,N/a,,
051202010103,Eightmile Creek-White River,2,2,3.,3.,13,13,26,Grade Stabilization Structure,,
051202010104,Cabin Creek,1,1,5.,5.,10,14,28,Field Border,,
051202010105,Sparrow Creek-White River,4,4,68,68,13,16,32,Cover Crop,,
051202010106,Little White River,14,14,16,16,41,50,10,Grassed Waterway,,
051202010107,Little Stoney Creek-Stoney Creek,6,6,5.,5.,27,27,55,Grassed Waterway,,
051202010108,Prairie Creek Reservoir-Prairie Creek,0,0,0,0,0,0,0,N/a,,
051202010109,Mud Creek-White River,0,0,0,0,0,0,0,N/a,,
051202010110,Truitt Ditch-White River,0,0,0,0,0,0,0,N/a,,
051202010111,Hamilton Ditch-Muncie Creek,0,0,0,0,0,0,0,N/a,,
051202010201,Little Buck Creek-Buck Creek,0,0,0,0,0,0,0,N/a,,
051202010202,Bethel Brook-Bell Creek,0,0,0,0,0,0,0,N/a,,
051202010203,No Name Creek-Bell Creek,6,6,30,30,45,57,11,Cover Crop,,
051202010204,Macedonia Creek-Buck Creek,1,1,0.,0.,4.,4.,8.,Heavy Use Area Protection,,
051202010301,Mud Creek-Killbuck Creek,0,0,0,0,0,0,0,N/a,,
051202010302,Jakes Creek,1,1,55,55,67,91,18,Cover Crop,,
051202010303,Thruston Ditch-Killbuck Creek,2,2,13,13,15,21,43,Cover Crop,,
051202010304,Little Killbuck Creek,12,12,12,12,24,30,61,Prescribed Grazing,,
051202010305,York Prairie Creek-White River,5,5,14,14,35,39,79,Heavy Use Area Protection,,
051202010306,Shoemaker Ditch-White River,0,0,0,0,0,0,0,N/a,,
051202010307,Moon Branch-Killbuck Creek,1,1,12,12,23,29,58,Cover Crop,,
051202010308,Turkey Creek-White River,1,1,76,76,11,14,29,Cover Crop,,
051202010309,Elm Run-Indian Creek,4,4,37,37,54,70,14,Cover Crop,,
051202010310,Town of Perkinsville-White River,0,0,0,0,0,0,0,N/a,,
051202010401,Yeager Finley Menard Ditch-Pipe Creek,0,0,0,0,0,0,0,N/a,,
051202010402,Stem Run-Pipe Creek,0,0,0,0,0,0,0,N/a,,
051202010403,Star Creek-Mud Creek,1,1,36,36,60,77,15,Cover Crop,,
051202010404,Polecat Creek-Pipe Creek,0,0,0,0,0,0,0,N/a,,
051202010405,Lilly Creek-Pipe Creek,11,11,25,25,43,54,10,Cover Crop,,
051202010406,Swanfelt Ditch-Pipe Creek,2,2,11,11,17,22,45,Cover Crop,,
051202010407,Shell Cemetary-Pipe Creek,3,3,22,22,32,43,85,Cover Crop,,
051202010501,Todd Ditch-Duck Creek,0,0,0,0,0,0,0,N/a,,
051202010502,Little Duck Creek-Big Duck Creek,0,0,0,0,0,0,0,N/a,,
051202010503,Polywog Creek-Duck Creek,1,1,21,21,37,49,98,Cover Crop,,
051202010504,Bear Creek,0,0,0,0,0,0,0,N/a,,
051202010505,Lamberson Ditch-Duck Creek,1,1,1.,1.,1.,1.,3.,Tree/Shrub Establishment,,
051202010601,Prairie Creek,0,0,0,0,0,0,0,N/a,,
051202010602,Cox Ditch,1,1,0.,0.,82,11,23,Windbreak/Shelterbelt Establishment,,
051202010603,Dixon Creek-Cicero Creek,1,1,1.,1.,31,61,11,CREP CP 2 Establishment of Permanent Native Grass,,
051202010604,Buck Creek-Cicero Creek,0,0,0,0,0,0,0,N/a,,
051202010605,Tobin Ditch-Cicero Creek,2,2,14,14,21,28,57,Cover Crop,,
051202010606,Weasel Creek-Cicero Creek,0,0,0,0,0,0,0,N/a,,
051202010607,Teter Branch-Little Cicero Creek,3,3,34,34,44,59,11,Cover Crop,,
051202010608,Little Cicero Creek,0,0,0,0,0,0,0,N/a,,
051202010609,Hinkle Creek,16,16,37,37,48,64,12,Cover Crop,,
051202010610,Morse Reservoir-Cicero Creek,12,12,29,29,48,60,12,Cover Crop,,
051202010701,Dyers Creek-White River,7,7,17,17,22,30,60,Cover Crop,,
051202010702,Headwaters Stony Creek,2,2,13,13,20,26,52,Cover Crop,,
051202010703,William Lock Dtich-Stony Creek,3,3,19,19,21,29,59,Cover Crop,,
051202010704,William Lehr Ditch-Stony Creek,5,5,51,51,13,15,30,"Residue and Tillage Management, No-Till",,
051202010705,Mallory Granger Ditch-White River,3,3,29,29,32,43,86,Cover Crop,,
051202010801,Honey Creek-Fall Creek,0,0,0,0,0,0,0,N/a,,
051202010802,Sly Fork,0,0,0,0,0,0,0,N/a,,
051202010804,Prairie Creek-Fall Creek,1,1,25,25,42,54,10,Cover Crop,,
051202010806,Foster Branch,8,8,18,18,31,39,79,Cover Crop,,
051202010901,Headwaters Mud Creek,2,2,31,31,34,47,94,Cover Crop,,
051202011001,Cool Creek,1,1,1.,1.,2.,3.,7.,Riparian Herbaceous Cover,,
051202011101,Dixon Branch-Eagle Creek,3,3,21,21,18,25,51,Cover Crop,,
051202011102,Mounts Run,1,1,50,50,46,64,12,Cover Crop,,
051202011103,Finley Creek-Eagle Creek,0,0,0,0,0,0,0,N/a,,
051202011104,Lion Creek-Little Eagle Branch,2,2,31,31,75,88,17,"Residue and Tillage Management, No-Till",,
071200010306,Fleugel Ditch-Dausman Ditch,22,22,29,29,52,56,11,Cover Crop,,
071200010308,Dausman Ditch,0,0,0,0,0,0,0,N/a,,
071200010310,Stone Ditch-Yellow River,0,0,0,0,0,0,0,N/a,,
071200010501,Town of Argos-Wolf Creek,0,0,0,0,0,0,0,N/a,,
071200010502,Dixon Lake-Yellow River,0,0,0,0,0,0,0,N/a,,
071200010503,Clifton Ditch-Yellow River,0,0,0,0,0,0,0,N/a,,
071200010504,Eagle Creek,0,0,0,0,0,0,0,N/a,,
071200010505,Bickle Ditch-Yellow River,4,4,11,11,48,77,15,Conservation Cover,,
071200010506,Cavanaugh Ditch-Yellow River,0,0,0,0,0,0,0,N/a,,
071200010601,Hook Run-Bogus Run,5,5,20,20,11,17,34,Conservation Cover,,
071200010602,Cedar Lake Ditch-Craigmile Ditch,2,2,93,93,30,46,93,Cover Crop,,
071200010603,Craigmile Ditch-Kline Arm,0,0,0,0,0,0,0,N/a,,
071200010604,Pine Creek-Bogus Run,3,3,55,55,23,35,71,Forage and Biomass Planting,,
071200010705,Laramore Ditch-Kankakee River,0,0,0,0,0,0,0,N/a,,
071200010802,Hanna Arm Tuesburg Ditch,0,0,0,0,0,0,0,N/a,,
071200010805,Bessler Ditch-Pitner Ditch,0,0,0,0,0,0,0,N/a,,
071200010806,Origer Ditch-Kankakee River,0,0,0,0,0,0,0,N/a,,
071200010807,Rassmussen Ditch-Kankakee River,13,13,85,85,35,52,10,Upland Wildlife Habitat Management,,
071200010808,Cook Ditch,0,0,0,0,0,0,0,N/a,,
071200010809,Davis Ditch-Kankakee River,3,3,18,18,89,12,24,"Residue and Tillage Management, No-Till",,
071200010901,Headwaters Wolf Creek,0,0,0,0,0,0,0,N/a,,
071200010902,Hickam Lateral-Wolf Creek,2,2,37,37,10,15,30,Cover Crop,,
071200010903,Delehanty Ditch-Hodge Ditch,1,1,59,59,33,44,88,"Residue and Tillage Management, No-Till",,
071200010904,Cook Ditch-Hodge Ditch,1,1,42,42,24,32,65,"Residue and Tillage Management, No-Till",,
071200011005,Reeves Ditch,3,3,16,16,30,39,79,"Residue and Tillage Management, No-Till",,
071200011006,Hannon Ditch-Crooked Creek,4,4,30,30,33,47,93,Cover Crop,,
071200011008,Ahlgrim Ditch,10,10,24,24,40,52,10,"Residue and Tillage Management, No-Till",,
071200011009,Cornell Ditch-Phillips Ditch,32,32,44,44,13,15,30,Grassed Waterway,,
071200011010,Cobb Creek-Kankakee River,19,19,66,66,13,16,33,"Residue and Tillage Management, No-Till",,
071200011101,Dehaan Ditch,1,1,80,80,24,36,73,Cover Crop,,
071200011102,Wentworth Ditch-Knight Ditch,1,1,84,84,34,47,96,Cover Crop,,
071200011103,Brown Levee Ditch-Kankakee River,1,1,18,18,28,39,79,Forage and Biomass Planting,,
071200011201,Gregory Ditch-Mud Lake Ditch,1,1,14,14,53,75,15,Cover Crop,,
071200011202,Mud Lake Ditch-Beaver Lake Ditch,0,0,0,0,0,0,0,N/a,,
071200011203,Lawler Ditch-Beaver Lake Ditch,8,8,85,85,43,67,13,Wetland Enhancement,,
071200011204,Williams Ditch,3,3,28,28,27,38,77,Cover Crop,,
071200011205,Beaver Lake Ditch-Kankakee River,0,0,0,0,0,0,0,N/a,,
071200011302,Fisher Pond- Stony Run,5,5,32,32,46,57,11,Prescribed Grazing,,
071200011303,Spring Run,0,0,0,0,0,0,0,N/a,,
071200011304,Greisel Ditch,0,0,0,0,0,0,0,N/a,,
071200011305,Bryant Ditch-Singleton Ditch,7,7,51,51,59,81,16,"Residue and Tillage Management, No-Till",,
071200011306,Cedar Creek,0,0,0,0,0,0,0,N/a,,
071200011307,Brown Ditch,0,0,0,0,0,0,0,N/a,,
071200011309,Klaasville-West Creek,1,1,49,49,47,66,13,Prescribed Grazing,,
071200011310,West Creek,7,7,16,16,31,39,79,"Residue and Tillage Management, No-Till",,
071200011311,Bruce Ditch-Singleton Ditch,7,7,69,69,64,92,18,Cover Crop,,
071200011312,Bull Creek-Singleton Ditch,1,1,20,20,23,31,63,Cover Crop,,
071200011313,Singleton Ditch,0,0,0,0,0,0,0,N/a,,
071200011403,Mirror Lake-Kankakee River,0,0,0,0,0,0,0,N/a,,
071200020101,Ringneck Lake-Oliver Ditch,1,1,40,40,13,19,39,Cover Crop,,
071200020102,Lateral No 77 Ditch-Oliver Ditch,4,4,17,17,54,80,16,Cover Crop,,
071200020103,Jungles Ditch-Oliver Ditch,2,2,11,11,36,53,10,Cover Crop,,
071200020201,Keefe Ditch,5,5,66,66,30,41,83,Cover Crop,,
071200020202,Jordan Ditch-Slough Creek,1,1,58,58,18,27,54,Cover Crop,,
071200020203,Nessius Ditch-Bice Ditch,1,1,40,40,13,19,39,Cover Crop,,
071200020204,Headwaters Carpenter Creek,2,2,42,42,11,16,34,Cover Crop,,
071200020205,Carpenter Creek,2,2,10,10,32,48,97,Cover Crop,,
071200020206,Bice Ditch-Slough Creek,2,2,24,24,70,10,21,Cover Crop,,
071200020301,Headwaters Iroquois River,0,0,0,0,0,0,0,N/a,,
071200020302,Iliff Slough Lateral-Ryan Ditch,0,0,0,0,0,0,0,N/a,,
071200020303,Dexter Ditch-Iroquois River,1,1,44,44,14,21,42,Cover Crop,,
071200020304,Ryan Ditch,4,4,90,90,23,35,71,Cover Crop,,
071200020305,Moore Ditch-Iroquois River,3,3,27,27,81,12,24,Cover Crop,,
071200020401,Headwaters Curtis Creek,10,10,93,93,42,61,12,Conservation Cover,,
071200020402,Turner Ditch-Iroquois River,0,0,0,0,0,0,0,N/a,,
071200020403,Hunter Ditch,6,6,33,33,13,18,37,Cover Crop,,
071200020404,Bower Ditch-Darroch Ditch,0,0,0,0,0,0,0,N/a,,
071200020405,Hickory Branch-Iroquois River,13,13,14,14,56,79,16,Cover Crop,,
071200020501,Clark Ditch-Thompson Ditch,6,6,17,17,79,10,21,Cover Crop,,
071200020502,Whaley Ditch,1,1,25,25,17,26,52,Wetland Restoration,,
071200020503,Strole Ditch-Iroquois River,3,3,38,38,13,19,40,Cover Crop,,
071200020504,Headwaters Montgomery Ditch,2,2,16,16,17,24,48,Cover Crop,,
071200020505,Kent Ditch-Montgomery Ditch,1,1,40,40,48,66,13,Cover Crop,,
071200020506,Montomery Ditch,1,1,36,36,44,60,12,Cover Crop,,
071200020507,North Sheldon South Concord Ditch-Iroquois River,0,0,0,0,0,0,0,N/a,,
071200020508,Blackstone Branch-Iroquois River,0,0,0,0,0,0,0,N/a,,
071200020701,Upper Sugar Creek-Sugar Creek,0,0,0,0,0,0,0,N/a,,
071200020702,Coon Creek-Mud Creek,1,1,40,40,48,66,13,Cover Crop,,
071200020703,Kult Ditch-Mud Creek,0,0,0,0,0,0,0,N/a,,
071200020704,Cole Creek-Mud Creek,0,0,0,0,0,0,0,N/a,,
071200020705,Yeagers Curve-Sugar Creek,0,0,0,0,0,0,0,N/a,,
071200020706,Town of Stockland,0,0,0,0,0,0,0,N/a,,
071200020709,Possum Trot Ditch,0,0,0,0,0,0,0,N/a,,
071200020710,Coon Creek,0,0,0,0,0,0,0,N/a,,
071200021301,Hanger Ditch-Beaver Creek,2,2,40,40,19,26,52,Cover Crop,,
071200021302,Deardruff Ditch-Beaver Creek,1,1,93,93,37,52,10,Cover Crop,,
071200021303,Carlson Ditch-Beaver Creek,2,2,60,60,27,37,75,Cover Crop,,
071200021304,Hooper Branch,0,0,0,0,0,0,0,N/a,,
071200021305,North Hooper-Beaver Creek,0,0,0,0,0,0,0,N/a,,
071200021306,Headwaters Little Beaver Creek,0,0,0,0,0,0,0,N/a,,
